_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
heffen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	0.46922505993937835	-0.08964043313215482	NA	NA	bound	202	lex	3_3	1	weight	5000	5000	nav	4_4	204	heffen	0.10257793474662091	BOW
heffen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.8162938918390632	-0.3704985886717616	NA	NA	bound	202	lex	3_3	1	weight	5000	5000	all	4_4	204	heffen	0.1573007460930744	BOW
heffen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.40906278193770745	-0.06615973837367696	NA	NA	bound	202	lex	3_3	1	weight	FOC	136	nav	4_4	204	heffen	0.10663594288438229	BOW
heffen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	0.38910011040329034	-0.06841733796280244	NA	NA	bound	202	lex	3_3	1	weight	FOC	202	all	4_4	204	heffen	0.1127931259613065	BOW
heffen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	0.5318244434181167	-0.144600786202109	NA	NA	bound	202	lex	3_3	1	selection	5000	5000	nav	4_4	204	heffen	0.11821397241443853	BOW
heffen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.8362195503158382	-0.39247898543389315	NA	NA	bound	202	lex	3_3	1	selection	5000	5000	all	4_4	204	heffen	0.16884753417964296	BOW
heffen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.410090712584574	-0.08655202082480665	NA	NA	bound	202	lex	3_3	1	selection	FOC	136	nav	4_4	204	heffen	0.11262707543455178	BOW
heffen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	0.3890311669127942	-0.08162197941178895	NA	NA	bound	202	lex	3_3	1	selection	FOC	202	all	4_4	204	heffen	0.11959077740163113	BOW
heffen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	0.7771014816378085	-0.2002711200693333	NA	NA	bound	280	lex	3_3	1	no	5000	5000	nav	4_4	213	heffen	0.11963540364413446	BOW
heffen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	1.128880324399594	-0.45459309002671117	NA	NA	bound	280	lex	3_3	1	no	5000	5000	all	4_4	213	heffen	0.17257946735866553	BOW
heffen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	0.6053013030928153	-0.13361869111515307	NA	NA	bound	280	lex	3_3	1	no	FOC	195	nav	4_4	213	heffen	0.11802150110857755	BOW
heffen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	0.5870859294968139	-0.1327499162062115	NA	NA	bound	280	lex	3_3	1	no	FOC	280	all	4_4	213	heffen	0.1196098819050688	BOW
