_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base	soc_vector	pam_cluster	is_medoid
staal.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.10620000014064856	0.04242640435955341	1	5000	5000	310	staal	NA	NA	bound	596	all	5_5	weight	nav	4_4	0.09744440286488715	BOW	nav_5000	c3	0
staal.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.16215327971804736	-0.1480769824266698	1	5000	5000	310	staal	NA	NA	bound	596	all	5_5	weight	all	4_4	0.17755898256427982	BOW	all_5000	c4	1
staal.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1281227822510253	0.03914179914341333	1	FOC	354	310	staal	NA	NA	bound	596	all	5_5	weight	nav	4_4	0.13303784342270825	BOW	nav_FOC	c6	0
staal.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.11940694622311203	0.025122414638089376	1	FOC	596	310	staal	NA	NA	bound	596	all	5_5	weight	all	4_4	0.13027531558722547	BOW	all_FOC	c3	0
staal.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.01842516042607243	-3.291897819760724e-4	1	5000	5000	310	staal	NA	NA	bound	596	all	5_5	selection	nav	4_4	0.17518137989608434	BOW	nav_5000	c3	0
staal.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.39548413306821917	-0.1523735063315252	1	5000	5000	310	staal	NA	NA	bound	596	all	5_5	selection	all	4_4	0.15561153699499378	BOW	all_5000	c5	1
staal.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.08556947733360906	0.008273468362791584	1	FOC	354	310	staal	NA	NA	bound	596	all	5_5	selection	nav	4_4	0.14798392153948148	BOW	nav_FOC	c3	0
staal.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.06606964463002789	-0.005671629616143454	1	FOC	596	310	staal	NA	NA	bound	596	all	5_5	selection	all	4_4	0.1549956549190253	BOW	all_FOC	c3	0
staal.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	-0.012866936786501476	-0.039022515870639325	1	5000	5000	311	staal	NA	NA	bound	865	all	5_5	no	nav	4_4	0.1702472919757158	BOW	nav_5000	c3	0
staal.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.3927146460355635	-0.21727111509815983	1	5000	5000	311	staal	NA	NA	bound	865	all	5_5	no	all	4_4	0.1680928600484427	BOW	all_5000	c5	0
