pmi10	raw_co10	pmi4	raw_co4	raw_freq	cw
-1.0315311	3	-1.2354921	1.0	56174	1999/noun
1.1760356	2	1.3738458	1.0	4135	1999/num
3.0231798	1			325	19u./noun
9.485897	1	10.388901	1.0	1	1Staatssecretaris/noun
8.79275	1	9.695754	1.0	1	1\november/noun
0.977886	2			5194	1ste/num
0.7975276	1	1.6875962	1.0	3022	2,7/num
0.13037479	1			5886	2-1/noun
0.22854917	1			5357	2-2/noun
1.2989317	1			1814	2-4/name
1.7738559	1	2.668661	1.0	1134	2-4/noun
6.90568	1			7	2.08.24/num
7.4064555	1			4	2.13.06/num
6.84684	1			7	2.165/num
7.6941376	1			3	2.23.33/num
-0.87276167	3	-1.0872127	1.0	49039	2/name
0.24030548	4	0.43527296	2.0	21190	2/noun
-2.1236382	2	-1.9230824	1.0	111933	2/num
4.096369	2	4.290265	1.0	224	20-jarig/adj
0.47064754	1	1.3605022	1.0	4209	20-jarige/adj
0.32656592	2			9698	20.000/num
5.888585	1			20	20.000ste/num
1.5200275	6	1.3112067	2.0	8823	20.30/noun
-0.4436869	1	0.44121712	1.0	10670	20.30/num
0.803706	13	0.5135975	4.0	39184	20/noun
0.57959473	21	0.37336585	7.0	78788	20/num
0.008319804	1			6664	200.000/num
0.48637658	7	0.12551244	2.0	28826	200/num
2.9632163	1			345	2000-2001/noun
-0.02974538	2			13959	2000/name
-0.04260114	9	-0.24802563	3.0	62906	2000/noun
1.3185061	8	0.12654214	1.0	14445	2000/num
2.54181	1			538	2001-2002/num
1.2412872	2	1.4280802	1.0	3948	2001/name
-0.028548121	8	-0.11760162	3.0	55236	2001/noun
2.1741862	8	1.6762644	2.0	6128	2001/num
2.2451472	5			3628	2002/name
0.15455623	9	-0.4582371	2.0	51756	2002/noun
1.3337855	3	1.8135804	2.0	5354	2002/num
3.479544	1	4.369092	1.0	207	2003-2004/noun
2.817923	1	3.6989908	1.0	408	2003-2004/num
1.6428528	2	1.8332084	1.0	2633	2003/name
0.78802407	12	0.9854983	6.0	36639	2003/noun
2.3806307	6	2.164972	2.0	3771	2003/num
3.8309548	1			149	2004-2005/num
2.3025386	4	1.7997128	1.0	2725	2004/name
1.120477	12	1.3160379	6.0	26354	2004/noun
0.52706444	4	0.72299665	2.0	15874	2005/noun
3.52129	1	4.4081182	1.0	200	200ste/num
3.5430977	1			194	20e/num
6.0616345	1			16	20ste/name
1.213582	2			3978	20ste/num
2.006146	2			1812	21.30/noun
0.81952566	7	0.86022806	3.0	20754	21/noun
0.37383273	8	-0.12032231	2.0	36979	21/num
6.84684	1			7	21jaar/noun
2.3330412	2	2.53113	1.0	1303	22.000/num
0.8655519	1	1.7605243	1.0	2810	22.30/noun
0.6076144	5	1.2725279	4.0	18321	22/noun
0.20677994	7	0.76298016	5.0	38168	22/num
0.28971657	1	1.1795111	1.0	5058	23-jarige/adj
0.27013817	3	0.060055815	1.0	15400	23/noun
-0.50453234	3	-0.017503519	2.0	33360	23/num
8.79275	1			1	236.363/num
2.1604848	2	2.3558104	1.0	1550	23ste/num
1.0706149	2			4636	24-jarige/adj
0.898289	6	1.0936452	3.0	16437	24/noun
-1.8141692	1			41130	24/num
5.3483334	2	5.5290885	1.0	65	2440/num
3.5233467	1			198	25-18/num
3.250115	1			260	25-21/num
3.4863405	4	3.6806643	2.0	824	25-jarig/adj
1.0038131	2	1.2009596	1.0	4941	25-jarige/adj
5.6540003	2			49	25.000ste/num
1.0736756	6	1.778017	5.0	13820	25/noun
1.0408661	30	1.4760131	19.0	71011	25/num
0.51155764	1	1.4027672	1.0	4020	250.000/num
-0.2734313	2	0.61747444	2.0	17628	250/num
4.72351	4	5.3220954	3.0	242	250ste/num
1.6720227	2	1.8662726	1.0	2536	25ste/num
0.47632748	1			4198	26-jarige/adj
0.9254261	5	0.8956681	2.0	13371	26/noun
-0.6967172	2	-0.49818078	1.0	26958	26/num
0.7006177	4	1.3000222	3.0	13389	27/noun
0.22881253	5	0.20488341	2.0	26724	27/num
1.6661403	1			1277	27ste/num
0.46444386	1			4252	28-jarige/adj
0.6155678	4	0.8104599	2.0	14547	28/noun
-0.2970711	3	0.59530735	3.0	27077	28/num
5.598167	1			25	2840/num
5.057464	1			43	2860/num
3.1618967	1			283	287/num
1.6950357	1			1244	28ste/num
1.2769698	1			1868	29/name
0.43294382	3			13107	29/noun
-0.032964133	3	-0.23995286	1.0	20852	29/num
1.9820013	1			926	290/num
8.79275	1	9.695754	1.0	1	29_jarenlang/adj
8.79275	1	9.695754	1.0	1	2OOste/adj
8.79275	1			1	3-0Voor/name
-0.13451767	1			7712	3-1/noun
0.3482673	4	1.2375015	4.0	18982	3/noun
-1.0606678	5	-1.7756112	1.0	96814	3/num
2.0488086	4	1.5518732	1.0	3482	30-jarige/adj
0.0017657559	1	0.89253616	1.0	6706	30.000/num
1.2277079	1			1983	30/name
1.2918183	9	1.081086	3.0	16647	30/noun
0.2433202	11	-0.56900096	2.0	57761	30/num
-1.0031106	1	-0.11172522	1.0	18263	300/num
0.5259302	1			3986	3000/num
4.213924	1			103	3001/num
5.4381785	3	6.31561	3.0	90	300ste/num
0.624859	1			3638	31-jarige/adj
0.3296505	3	0.12008477	1.0	14497	31/noun
-0.31912825	2	-0.12049964	1.0	18484	31/num
2.0912197	1			827	310/num
0.6288375	1			3621	32-jarige/adj
0.23340768	4	0.43277946	2.0	21246	32/num
1.3835227	2			3398	33-jarige/adj
1.1677107	9	0.5552995	2.0	18802	33/num
7.0009904	1			6	3312/num
2.2152364	1			739	33ste/num
2.5615141	6			3156	34-jarige/adj
-0.96500635	1			17620	34/num
0.73494494	1			3259	35-jarige/adj
0.19451459	6	-0.011247361	2.0	33039	35/num
1.2417208	4			7766	350/num
6.5103674	3	7.393169	3.0	30	350ste/num
1.9024969	1	2.7925086	1.0	1003	35ste/num
0.11898049	3	-0.087872796	1.0	17865	36/num
3.411011	1	4.302695	1.0	221	369/num
2.5305905	1	3.4224052	1.0	535	36ste/num
0.95515615	1			2612	37-jarige/adj
0.5589514	4			15370	37/num
1.7924155	1	2.6851034	1.0	1115	380/num
1.11869	1	2.0003939	1.0	2241	39-jarige/adj
-0.64834094	1			12844	39/num
8.79275	1	9.695754	1.0	1	3OOste/adj
1.1796967	2			4210	3de/num
1.6931767	1			1228	4,9/num
2.8864348	1			374	4-5/noun
8.79275	1			1	4-wandeltrofee/name
0.53052646	1	1.421843	1.0	3946	4.000/num
0.07995164	3	0.5646866	2.0	18612	4/name
-1.1161653	1			20560	4/noun
-1.423653	3	-1.627478	1.0	83383	4/num
1.2277856	1	2.1121247	1.0	1995	40-jarige/adj
0.78993875	2			6106	40.000/num
-0.01797439	6	0.4692633	4.0	40859	40/num
0.6271305	1			3585	400.000/num
1.0875003	7	1.4199079	4.0	15791	400/num
5.2812047	3	5.768842	2.0	102	400ste/num
1.3960466	1			1693	41-jarige/adj
-0.5938184	1			12155	41/num
2.0044541	2	2.8876116	2.0	1848	42-jarige/adj
4.4302883	1			81	42.195/num
-0.78557515	1			14677	42/num
1.3174107	1			1830	43-jarige/adj
0.41895768	3	0.90503764	2.0	13237	43/num
2.5928495	1	3.474915	1.0	507	43ste/num
2.1408875	2			1599	44-jarige/adj
1.3783315	8	1.2891291	3.0	13507	44/num
0.52066696	6	0.3143424	2.0	23856	45/num
0.9415948	2			5237	450/num
2.65362	1	3.5472856	1.0	474	45ste/num
-0.26592994	2	-0.064815596	1.0	17422	46/num
1.5487725	1			1455	47-jarige/adj
0.39828956	3	0.1912058	1.0	13503	48/num
8.79275	1			1	4_boot/noun
1.4368852	2			3236	4de/num
3.2699566	3	3.060792	1.0	765	4x100/noun
1.4091022	1			1631	5-1/num
3.8967776	1			136	5.000_meter/noun
4.340731	1	5.2255445	1.0	88	5.100/num
0.3412827	4	0.53782576	2.0	19088	5/noun
-0.6895514	6	-1.5875666	1.0	80145	5/num
4.2505198	1	5.1484776	1.0	95	50-/num
4.0613875	3	3.8489537	1.0	348	50-jarig/adj
4.4739294	1	5.3568306	1.0	81	50-jarigen/adj
7.0263085	1			6	50-ste/num
0.3145804	10	0.0029075348	3.0	48857	50/num
0.6432349	1	1.5343074	1.0	3521	500.000/num
6.578996	2	6.777983	1.0	19	500.000ste/num
0.75077856	7	0.7954831	3.0	22123	500/num
6.1395082	1	6.987704	1.0	15	5000ste/num
4.72031	3	5.2036123	2.0	179	500ste/num
5.9595366	1	6.8625402	1.0	17	506/name
3.109227	3	3.5911	2.0	903	50ste/num
-0.3970509	1	0.49369764	1.0	9971	51/num
0.53669214	3	0.32998142	1.0	11745	52/num
0.31642047	2			9794	53/num
1.7067648	1			1234	54-jarige/adj
-0.4136677	1	0.47706088	1.0	10153	54/num
1.6708516	1	2.5582767	1.0	1285	55-jarige/adj
-0.28231463	2	-0.08290015	1.0	17736	55/num
2.3665853	1			628	55ste/num
-0.3512155	1			9524	57/num
-0.4597491	1	0.4321215	1.0	10607	58/num
0.54950035	2			7738	59/num
4.2315316	1			98	593/num
0.7097455	1			3294	6.000/num
0.7144546	6	0.5050232	2.0	19732	6/noun
4.758509	1			58	60-jarig/adj
1.8915663	1			1020	60-jarige/adj
5.7119875	2			46	60-jarigen/adj
0.50832146	1			4041	60.000/num
0.32671925	7	-0.032066274	2.0	33710	60/num
0.32988098	2	0.52804697	1.0	9639	600/num
5.3145914	1	6.187947	1.0	34	600ste/num
-0.1496129	1			7781	61/num
3.761332	1			156	616/num
3.9791439	2	4.170799	1.0	253	61ste/num
1.9621998	1	2.8512046	1.0	951	62-jarige/adj
2.2321436	1			719	62/name
0.8080374	3	0.6010347	1.0	8956	62/num
2.1055167	1			820	63/name
0.8194854	3			8858	64/num
1.9259729	1	2.8126755	1.0	986	65-jarige/adj
3.9640362	1			132	65-jarigen/adj
0.95245385	7	-0.10047562	1.0	18043	65/num
2.384221	2	3.2754536	2.0	1234	65ste/num
2.2949197	1			681	66-jarige/adj
0.5002453	2			8103	66/num
3.240178	1	4.130276	1.0	263	66ste/num
-0.20351806	1			8183	67/num
7.2035146	1			5	68-voudig/adj
0.5007775	2	1.394108	2.0	8098	68/num
0.6667049	2			6875	69/num
1.7828443	1			1125	7-0/num
6.020161	1	6.923165	1.0	16	7-tal/noun
1.4190933	1			1594	7./noun
0.47706118	2	1.3704175	2.0	8297	7/name
0.3464971	4	0.5430293	2.0	18997	7/noun
-0.9972749	3	-1.2014507	1.0	54496	7/num
5.2460103	1	6.112235	1.0	37	70-jarig/adj
0.45883423	7	0.100691125	2.0	29500	70/num
4.7616115	2	5.647235	2.0	115	700ste/num
2.0959628	1			834	71-jarige/adj
4.6826963	1			62	71/2/num
-0.03928314	1			6949	71/num
0.39571515	2	1.2888778	2.0	8993	72/num
-0.054566763	1			7053	73/num
4.398918	1			82	738/num
1.0523175	3	1.539656	2.0	6998	74/num
1.6419309	1			1337	747/name
4.042614	3			360	75-jarig/adj
1.8554845	1			1057	75-jarige/adj
8.89811	1			1	75-miljoenste/num
0.7646349	7	1.0980065	4.0	21780	75/num
1.0582895	2			4657	750/num
5.37175	1	6.233932	1.0	32	750ste/num
5.4767475	1	6.363549	1.0	28	75e/num
2.0525854	1			869	75ste/num
0.6715073	2	0.8721426	1.0	6821	76/num
-0.059213996	1	0.8334295	1.0	7097	77/num
2.0918958	1	2.9803703	1.0	835	78-jarige/adj
0.5463818	2	1.4391788	2.0	7746	78/num
1.2564305	3	2.1480982	3.0	5719	79/num
1.175556	1			2035	8./noun
8.79275	1			1	8.000ste/num
-2.0600712	1			52574	8/num
4.628413	1			68	80-plussers/noun
0.12828745	5	0.106394954	2.0	29331	80/num
3.7416127	2	3.9348824	1.0	319	80ste/num
0.09525394	1			6070	81/num
2.413645	1	3.2963274	1.0	611	82-jarige/adj
1.0855374	3	1.5724925	2.0	6772	82/num
1.4434549	4			6307	83/num
1.6645187	5			6320	84/num
