pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
-1.7520105	2			83383	4/num
-0.34628007	4	-0.13713278	2.0	40859	40/num
0.70428497	1			3585	400.000/num
-0.51666397	1			12155	41/num
-0.70843107	1			14677	42/num
6.5673194	1	7.47992	1.0	10	43-37/noun
1.3945936	1			1830	43-jarige/adj
1.9107909	1			1071	43/name
-0.60249627	1			13237	43/num
7.078145	1			6	48-45/noun
8.176757	1			2	488,5/num
1.5349551	1			1560	5,6/num
1.9960421	2			1963	5-1/noun
3.2383344	1			288	5-jarige/adj
-0.08422021	1			7886	5.000/num
3.3723264	1			254	5/10/num
0.17027582	3	0.6613305	2.0	18524	5/name
-0.7947502	5	-1.5008155	1.0	80145	5/num
2.5698528	1			558	50%/num
2.1711433	1			831	50-plussers/noun
-0.119086586	6			48857	50/num
0.72038937	1			3521	500.000/num
-0.42481613	2			22123	500/num
0.55905914	1	1.4585627	1.0	4147	5000/num
7.48361	1			4	53.27/num
0.3936218	2			9794	53/num
3.8859553	1	4.7886767	1.0	156	55%/num
-0.2051487	2			17736	55/num
8.8699045	1			1	5671003/num
7.48361	1	8.396211	1.0	4	58_kilo_gram/noun
3.139967	1			330	595/num
8.22805	1			2	5Helix/noun
8.176757	1	9.089357	1.0	2	5Liep/noun
5.825382	1			21	5S/noun
5.6918507	1			24	5m60/noun
5.825382	1	6.7379823	1.0	21	5voor12/noun
2.9379246	1			381	6-5/noun
8.176757	1			2	6.403/num
8.176757	1			2	6.580/num
8.176757	1			2	6.613/num
-0.5538927	1	0.3481214	1.0	12583	6/name
-1.0001271	1			19732	6/noun
-1.0580472	3	-1.2521529	1.0	62429	6/num
0.58548856	1			4041	60.000/num
8.8699045	1	9.782505	1.0	1	60282/name
6.304955	1			13	607.000/num
0.6207149	2			7781	61/num
6.304955	1			13	619/name
-0.213392	1			8956	62/num
-0.20195515	1	0.6991034	1.0	8858	64/num
-0.223149	2	-0.013724496	1.0	18043	65/num
-0.115215205	1			8098	68/num
7.2604666	1	8.173067	1.0	5	68er/noun
2.2503648	1	3.1521513	1.0	760	7,1/num
2.0069897	1			977	7,2/num
4.779735	1	5.675738	1.0	61	7,80/num
0.13597755	3	0.6297804	2.0	18997	7/noun
-0.22699095	6	-0.016087297	3.0	54496	7/num
2.9713778	1			373	70%/num
-0.023621932	4	-0.50570494	1.0	29500	70/num
1.3730855	1			1836	700.000/num
-0.22027756	1	0.68248177	1.0	8993	72/num
0.030866927	1			6998	74/num
1.3084707	1			1959	75.000/num
6.557369	1			11	7750/num
6.790463	1	7.7030635	1.0	8	7772/num
7.078145	1	7.9907455	1.0	6	7828/num
7.48361	1			4	7836/num
6.9239945	1			7	7958/num
5.397938	1			33	7E7/name
1.2869878	1			1997	8,5/num
8.8699045	1			1	8-11_tussenstand/noun
-1.0353041	1			20423	8/noun
-1.9829333	1			52574	8/num
-1.4039856	1	-0.5000011	1.0	29331	80/num
6.9239945	1	7.8365946	1.0	7	8026/num
7.2604666	1	8.173067	1.0	5	8062/num
2.6516032	1			511	81/name
0.7572418	2			6772	82/num
0.134323	1			6307	83/num
8.8699045	1	9.782505	1.0	1	85-85_gelijkspel/noun
2.6190608	1	3.511044	1.0	536	85-jarige/adj
2.7767863	1			459	86-jarige/adj
