pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
4.652911	1			203	Beestenmarkt/name
5.7040305	1	6.619532	1.0	71	Beet/name
1.7893864	1			3529	Beethoven/name
1.1327219	1			6902	Bel/name
-0.49124756	4			139420	Belgisch/adj
7.765608	2			18	België/Nederland/name
1.7755041	1	2.6856668	1.0	3573	Bergh/name
1.9397833	1			3042	Berghe/name
7.304139	1			14	Berghs/det
5.1586256	1			122	Bergin/name
1.8932747	1	2.8033006	1.0	3187	Berlijns/adj
2.4930007	1	3.4042535	1.0	1752	Berry/name
-0.16910644	1			25214	Bert/name
6.279635	1			39	Between/noun
7.052825	1			18	Beurskens/noun
6.130994	1			46	Biberkopf/name
0.50285214	1	1.4093987	1.0	12932	Big/name
6.3255444	2	6.54184	1.0	76	Bint/name
6.7714124	1			24	Bint/noun
2.490562	1			1757	Bird/name
5.6418376	1			75	Blacks/name
5.1703954	1			121	Blast/name
2.230641	1			2282	Blauwe/name
6.584559	1			29	Bloms/det
2.3577886	1	3.2669544	1.0	2011	Bo/name
7.0013924	1	7.9182167	1.0	20	Bobkes/noun
5.8298664	1			64	Boerentoren/name
4.816261	1			172	Boerentoren/noun
2.2393315	1	3.1498766	1.0	2248	Bondt/name
3.5245054	1	4.4271064	1.0	629	Booker/name
1.6861999	1			3918	Boon/name
5.13325	2	5.355801	1.0	248	Bordewijk/name
2.9013038	1	3.8126416	1.0	1160	Bortolo/name
8.211541	1			6	Boudesteijn/name
2.942543	1	3.8553946	1.0	1110	Box/name
1.9301844	1			3075	Boy/name
4.759168	1			194	Boyer/name
1.8565093	2	2.073567	1.0	6603	Boys/name
6.6851	1			26	Bozoc/name
1.1659802	1			6646	Brabants/adj
4.577922	1			217	Brain/name
7.839062	1			9	Braque/noun
3.7660308	2			996	Bravo/name
5.3597608	1			101	Braziliaanse/name
1.9600066	3	2.4519348	2.0	9174	Bree/name
8.844584	1			3	Brel-achtige/name
9.25005	1	10.169509	1.0	2	Breno/name
6.5419993	1	7.461458	1.0	30	Bressers/name
3.9036562	1	4.817058	1.0	425	Breuker/name
3.6609297	1			541	Bridges/name
5.6784062	1			73	Bridgewater/name
-0.7848628	2			94154	Brits/adj
4.3649774	1			271	Broken/name
2.5217497	1			1698	Brooklyn/name
4.9842052	1			145	Brubeck/name
2.351423	2			4052	Bruce/name
-0.3787316	2			63064	Brugge/name
-0.41325024	4			132165	Brussel/name
8.844584	1			3	Brussel_logo/noun
3.7390428	1	4.6515536	1.0	499	Buckley/name
2.5105944	1			1791	Buren/name
4.6044574	1			211	Burrows/name
3.3593032	1			733	Burt/name
7.3865232	7			92	Buysman/name
3.4044418	2	3.6228127	1.0	1402	Byrne/name
7.921649	1			8	Byrnes/det
4.2479506	1			305	C2/name
7.8637547	1	8.783215	1.0	8	C70/noun
-0.21785535	1			26499	CDA/name
3.0494387	1			1024	CDA_leider/noun
4.0589	1	4.967909	1.0	366	CDA_minister/noun
6.8055305	2	7.020519	1.0	47	CTS/name
4.9486904	1	5.8545237	1.0	151	CVP_senator/noun
3.7467523	1			503	Cadillac/name
6.78195	1			24	Cadillacs/noun
2.7490225	1			1351	Caesar/name
1.2793262	1			5932	Café/name
5.2615285	1			110	Cahen/name
3.3521402	1			738	Caine/name
6.026186	1			51	Calandlaan/name
5.891412	1	6.8022127	1.0	58	Callegari/name
9.25005	1			2	Can's/name
5.1395855	1	6.0443926	1.0	125	Capo/name
8.151437	1			6	CapoNord/noun
3.913774	2	4.1313396	1.0	849	Captain/name
0.8030587	1			9491	Carlos/name
9.442421	1			2	Carrickfergus/noun
4.63221	1			207	Carrier/name
4.598234	1			213	Cartoon/name
3.1702878	1			891	Castle/name
9.943196	1			1	Catera/noun
4.996211	1			142	Cato/name
5.192628	1			116	Ce/name
5.016668	1			139	Celica/name
2.232924	1			2269	Central/name
4.667892	1			196	Centro/name
4.517366	1			230	Chair/name
9.943196	1			1	Chaplin-achtigs/name
0.36959592	1			14675	Charles/name
3.9187205	2			845	Charly/name
3.8967705	1			430	Chef/name
4.2243614	1			310	Cherokee/name
4.1097026	1			346	Chess/name
7.9972863	1			7	Chevrolets/noun
2.4285603	1			1891	Child/name
1.4573185	1			4945	Chili/name
0.445531	2	1.354018	2.0	27261	Chinees/adj
7.304139	1	8.2235985	1.0	14	Chodorkovsky/name
5.403632	1	6.319361	1.0	94	Chopin/det
0.63047105	2	0.8455215	1.0	22676	Chris/name
1.2225157	1			6189	Christus/name
6.139873	1			45	Christusfiguur/noun
2.3544173	1	3.2629416	1.0	2027	Chrysler/name
3.175911	1	4.0878606	1.0	883	Chuck/name
4.8238564	2	5.034814	1.0	342	Châtel/name
2.982659	1			1084	Citigroup/name
2.0994067	1			2601	Citroën/name
4.623607	2	4.842847	1.0	416	Clear/name
4.302354	1			289	Clinic/name
3.0146098	1			1036	Coleman/name
9.25005	1			2	Collapse/noun
5.6297164	1			76	Conen/name
4.1880875	1			319	Constance/name
9.943196	1			1	Coo-Coo/noun
7.069632	1			18	Cooldown/name
4.4900146	1			236	Coombs/name
3.218463	2	3.4361067	1.0	1687	Cooper/name
4.2303715	2			617	Coupé/name
8.556902	1	9.476361	1.0	4	Crawford/det
4.8210196	2	5.036287	1.0	342	Cruiser/name
3.1410239	1			916	Crystal/name
0.87471354	1			8860	Cuba/name
10.105716	1	10.862656	1.0	1	Cubisme/noun
8.333758	1			5	Curso/name
8.556902	1			4	Curved/name
7.9972863	1	8.916745	1.0	7	Cyntha/name
8.556902	1	9.476361	1.0	4	D'Huys/name
5.4692745	1	6.3853188	1.0	88	D'hont/name
9.943196	1			1	DECOLLETE/name
7.483608	1			13	DEI/name
1.258254	1	2.1700187	1.0	6031	DS/name
5.2615285	1	6.173604	1.0	110	DSK/name
7.751543	1	8.665431	1.0	9	Dafjes/name
4.728668	2	4.9447703	1.0	376	Dalton/name
0.78774536	1			9664	Daniel/name
2.8678105	1			1195	Daniele/name
4.9255857	1			154	Daniella/name
0.2093384	1			17267	Danny/name
2.7664833	1			1331	Darwin/name
1.8264362	1			3402	Das/name
1.1308368	1			6867	Dave/name
4.100522	1	5.0083003	1.0	356	David/det
0.33038104	3	0.14056472	1.0	45891	David/name
1.1541535	1			6654	Davis/name
-0.5205965	17	-0.83723754	5.0	609210	De/name
8.151437	1			6	DeBlois/name
9.943196	1			1	DeBlois/noun
4.1595254	2			667	Dee/name
0.1702192	1			17890	Defensie/name
1.0454595	1	1.9532684	1.0	7515	Dehaene/name
9.943196	1	10.862656	1.0	1	Delogu/noun
8.895878	1	9.764044	1.0	3	Demoiselles/noun
-0.8029401	2	-0.5904321	1.0	94996	Den/name
3.341627	1			747	Dendooven/name
6.08352	1	6.9733896	1.0	50	Deserrano/name
2.1982803	1			2336	Design/name
3.8581278	1			454	Destiny's/name
6.5759006	1			29	Devo/name
3.256774	1			816	Devriendt/name
9.943196	1			1	DiFranco's/name
7.0376625	2	7.2619247	1.0	37	Diddley/name
0.9243072	1	1.8338972	1.0	8422	Didier/name
0.8904695	1			8713	Dijk/name
3.2873702	1	4.196654	1.0	793	Disco/name
6.0202336	1			51	Dish/name
9.25005	1			2	Djadin/name
2.7350774	1			1375	Doelen/name
7.245197	1			15	Doelenensemble/name
8.556902	1	9.476361	1.0	4	Dogma-manifest/name
4.0904193	1	4.991595	1.0	364	Dolmen/name
5.779637	2			131	Dona/name
1.9741675	1	2.8816915	1.0	2974	Donna/name
