_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	soc_vector	pam_cluster	is_medoid
herstellen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.06396158539820884	-0.12967826849577926	NA	NA	bound	379	all	5_5	1	weight	5000	5000	all	4_4	238	herstellen	0.16972469406319332	BOW	all_5000	c2	0
herstellen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.0031521983524712216	0.12447168811267696	NA	NA	bound	379	all	5_5	1	weight	FOC	190	nav	4_4	238	herstellen	0.1633012067771008	BOW	nav_FOC	c4	0
herstellen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.00624774436795184	0.10001590945587892	NA	NA	bound	379	all	5_5	1	weight	FOC	379	all	4_4	238	herstellen	0.16561039022134755	BOW	all_FOC	c4	1
herstellen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.18151635898914834	0.07479031369256116	NA	NA	bound	379	all	5_5	1	selection	5000	5000	nav	4_4	238	herstellen	0.22117968361179247	BOW	nav_5000	c6	0
herstellen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.13632135270333562	-0.33830914613019414	NA	NA	bound	379	all	5_5	1	selection	5000	5000	all	4_4	238	herstellen	0.20069106198463596	BOW	all_5000	c5	0
herstellen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.03810120143191859	0.048237865821716235	NA	NA	bound	379	all	5_5	1	selection	FOC	190	nav	4_4	238	herstellen	0.21166525453582646	BOW	nav_FOC	c4	0
herstellen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.04275267996092908	0.02573746546615036	NA	NA	bound	379	all	5_5	1	selection	FOC	379	all	4_4	238	herstellen	0.20271404712624505	BOW	all_FOC	c4	0
herstellen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.1616244874970279	0.011522079194632205	NA	NA	bound	643	all	5_5	1	no	5000	5000	nav	4_4	239	herstellen	0.23861642429221552	BOW	nav_5000	c3	0
herstellen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.003761411561249579	-0.32832173688119504	NA	NA	bound	643	all	5_5	1	no	5000	5000	all	4_4	239	herstellen	0.2019838725086212	BOW	all_5000	c5	0
herstellen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.03497559301526704	0.011384256431846712	NA	NA	bound	643	all	5_5	1	no	FOC	327	nav	4_4	239	herstellen	0.2195548100348131	BOW	nav_FOC	c3	0
herstellen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.028948237618179853	-0.013797880122358478	NA	NA	bound	643	all	5_5	1	no	FOC	643	all	4_4	239	herstellen	0.20521149235189642	BOW	all_FOC	c3	0
herstellen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.14550220518410645	0.18661460250628825	NA	NA	bound	198	lex	3_3	1	weight	5000	5000	nav	4_4	210	herstellen	0.21011707764682436	BOW	nav_5000	c7	0
herstellen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.24031411991736348	-0.0713680973040982	NA	NA	bound	198	lex	3_3	1	weight	5000	5000	all	4_4	210	herstellen	0.19663728483057102	BOW	all_5000	c2	0
herstellen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.11931768040124832	0.18682110124299006	NA	NA	bound	198	lex	3_3	1	weight	FOC	133	nav	4_4	210	herstellen	0.20801420392717127	BOW	nav_FOC	c7	0
herstellen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.12205065487246833	0.16339782100376	NA	NA	bound	198	lex	3_3	1	weight	FOC	198	all	4_4	210	herstellen	0.20898292693049328	BOW	all_FOC	c7	0
herstellen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.14995719284233514	0.148071499336744	NA	NA	bound	198	lex	3_3	1	selection	5000	5000	nav	4_4	210	herstellen	0.21920873389420137	BOW	nav_5000	c7	0
herstellen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.22443919248147512	-0.07666701639284311	NA	NA	bound	198	lex	3_3	1	selection	5000	5000	all	4_4	210	herstellen	0.21120932213467816	BOW	all_5000	c2	0
herstellen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.11675531889660812	0.14402375564217804	NA	NA	bound	198	lex	3_3	1	selection	FOC	133	nav	4_4	210	herstellen	0.20730044517019652	BOW	nav_FOC	c7	0
herstellen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.12838562889766164	0.13125947223569395	NA	NA	bound	198	lex	3_3	1	selection	FOC	198	all	4_4	210	herstellen	0.2097808222363256	BOW	all_FOC	c7	0
herstellen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.203106233705044	0.13911306452615688	NA	NA	bound	288	lex	3_3	1	no	5000	5000	nav	4_4	232	herstellen	0.23855049694498912	BOW	nav_5000	c7	0
herstellen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.33438494743297975	-0.11164933669860928	NA	NA	bound	288	lex	3_3	1	no	5000	5000	all	4_4	232	herstellen	0.19774822018664892	BOW	all_5000	c2	0
herstellen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.17443039532909632	0.13970390162140994	NA	NA	bound	288	lex	3_3	1	no	FOC	202	nav	4_4	232	herstellen	0.23248853537553252	BOW	nav_FOC	c7	0
herstellen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.17574663991022874	0.11904371558356233	NA	NA	bound	288	lex	3_3	1	no	FOC	288	all	4_4	232	herstellen	0.23070814952815463	BOW	all_FOC	c7	0
herstellen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.10283323960751078	0.23928692123140913	NA	NA	bound	269	all	3_3	1	weight	5000	5000	nav	4_4	237	herstellen	0.20074811194212971	BOW	nav_5000	c6	0
herstellen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.02602106271926027	-0.18095927854226876	NA	NA	bound	269	all	3_3	1	weight	5000	5000	all	4_4	237	herstellen	0.18038813226441627	BOW	all_5000	c2	0
herstellen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.024793438673595965	0.2113062263229792	NA	NA	bound	269	all	3_3	1	weight	FOC	133	nav	4_4	237	herstellen	0.2299017804698148	BOW	nav_FOC	c4	0
herstellen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.022174862989436484	0.17828696161721408	NA	NA	bound	269	all	3_3	1	weight	FOC	269	all	4_4	237	herstellen	0.21219693799415645	BOW	all_FOC	c4	0
herstellen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.21952612619748335	0.18555293263921305	NA	NA	bound	269	all	3_3	1	selection	5000	5000	nav	4_4	237	herstellen	0.2118279820476451	BOW	nav_5000	c6	0
herstellen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.2349484881256827	-0.3161205150132052	NA	NA	bound	269	all	3_3	1	selection	5000	5000	all	4_4	237	herstellen	0.20750492506849613	BOW	all_5000	c5	0
herstellen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.11011875307569621	0.14827176823887522	NA	NA	bound	269	all	3_3	1	selection	FOC	133	nav	4_4	237	herstellen	0.22230330068469936	BOW	nav_FOC	c6	0
herstellen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.10969884026120058	0.13345471586434265	NA	NA	bound	269	all	3_3	1	selection	FOC	269	all	4_4	237	herstellen	0.2231512141331927	BOW	all_FOC	c4	0
herstellen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.19712687782101607	0.16093561393430048	NA	NA	bound	411	all	3_3	1	no	5000	5000	nav	4_4	239	herstellen	0.2216346551534953	BOW	nav_5000	c6	0
herstellen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.12771641457400917	-0.35978662763956953	NA	NA	bound	411	all	3_3	1	no	5000	5000	all	4_4	239	herstellen	0.21802182545272958	BOW	all_5000	c5	0
herstellen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.10417612254766064	0.09513054262027003	NA	NA	bound	411	all	3_3	1	no	FOC	202	nav	4_4	239	herstellen	0.22785530178054864	BOW	nav_FOC	c6	0
herstellen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.10709072216848328	0.08926746883098494	NA	NA	bound	411	all	3_3	1	no	FOC	411	all	4_4	239	herstellen	0.21788183636239214	BOW	all_FOC	c6	0
herstellen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.13067613476118212	0.09227382460181713	NA	NA	nobound	451	lex	10_10	1	weight	5000	5000	nav	4_4	239	herstellen	0.1620787034194068	BOW	nav_5000	c1	0
herstellen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.20439399205299	-0.10524488297511286	NA	NA	nobound	451	lex	10_10	1	weight	5000	5000	all	4_4	239	herstellen	0.1623948658523535	BOW	all_5000	c2	0
herstellen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.12105885177054891	0.08146117251317718	NA	NA	nobound	451	lex	10_10	1	weight	FOC	307	nav	4_4	239	herstellen	0.1506406789169803	BOW	nav_FOC	c1	0
herstellen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.12257006309916718	0.059903467004868934	NA	NA	nobound	451	lex	10_10	1	weight	FOC	451	all	4_4	239	herstellen	0.14523126340148065	BOW	all_FOC	c1	0
herstellen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.20722716984754203	0.04223301926659001	NA	NA	nobound	451	lex	10_10	1	selection	5000	5000	nav	4_4	239	herstellen	0.24001030042531954	BOW	nav_5000	c1	0
herstellen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.22426881112495792	-0.15255147331037996	NA	NA	nobound	451	lex	10_10	1	selection	5000	5000	all	4_4	239	herstellen	0.1753698942933957	BOW	all_5000	c2	0
herstellen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.13867337617619688	0.023853181619235365	NA	NA	nobound	451	lex	10_10	1	selection	FOC	307	nav	4_4	239	herstellen	0.17507115176890278	BOW	nav_FOC	c1	0
herstellen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.15350835733095564	0.01900430368772315	NA	NA	nobound	451	lex	10_10	1	selection	FOC	451	all	4_4	239	herstellen	0.17565291070471806	BOW	all_FOC	c1	0
herstellen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.25941231703851514	0.009238093552984543	NA	NA	nobound	1061	lex	10_10	1	no	5000	5000	nav	4_4	239	herstellen	0.22881131000136953	BOW	nav_5000	c3	0
herstellen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.3838363025040183	-0.25899335068343954	NA	NA	nobound	1061	lex	10_10	1	no	5000	5000	all	4_4	239	herstellen	0.1529205818451003	BOW	all_5000	c3	0
herstellen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.213085078663855	-0.0067539935229666125	NA	NA	nobound	1061	lex	10_10	1	no	FOC	769	nav	4_4	239	herstellen	0.1935784622042916	BOW	nav_FOC	c3	0
herstellen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.22384800445663194	-0.0095312921412333	NA	NA	nobound	1061	lex	10_10	1	no	FOC	1061	all	4_4	239	herstellen	0.19249251646090196	BOW	all_FOC	c3	0
herstellen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.022436714075517457	0.13815909135292784	NA	NA	nobound	628	all	10_10	1	weight	5000	5000	nav	4_4	239	herstellen	0.17788807965446865	BOW	nav_5000	c4	0
herstellen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.13419985390716638	-0.13808062332071613	NA	NA	nobound	628	all	10_10	1	weight	5000	5000	all	4_4	239	herstellen	0.14572398452748683	BOW	all_5000	c2	0
herstellen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.013787652310873177	0.08217130648280727	NA	NA	nobound	628	all	10_10	1	weight	FOC	307	nav	4_4	239	herstellen	0.1321112093675984	BOW	nav_FOC	c4	0
herstellen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.020022233225219992	0.05395820932654577	NA	NA	nobound	628	all	10_10	1	weight	FOC	628	all	4_4	239	herstellen	0.1320789687556715	BOW	all_FOC	c4	0
herstellen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.1132214965818264	-0.04228802989779096	NA	NA	nobound	628	all	10_10	1	selection	5000	5000	nav	4_4	239	herstellen	0.2253009297659373	BOW	nav_5000	c3	0
herstellen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.13854597413088113	-0.3786587932451978	NA	NA	nobound	628	all	10_10	1	selection	5000	5000	all	4_4	239	herstellen	0.15989264206708356	BOW	all_5000	c5	0
herstellen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.025324743450896265	-0.003452558751204325	NA	NA	nobound	628	all	10_10	1	selection	FOC	307	nav	4_4	239	herstellen	0.19219692306440692	BOW	nav_FOC	c3	0
herstellen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.0397427354155671	-0.03180709635481247	NA	NA	nobound	628	all	10_10	1	selection	FOC	628	all	4_4	239	herstellen	0.188833469921487	BOW	all_FOC	c3	0
herstellen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.093597176065414	-0.19517176344644477	NA	NA	nobound	1477	all	10_10	1	no	5000	5000	nav	4_4	239	herstellen	0.22330521443172202	BOW	nav_5000	c3	0
herstellen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	-0.2914595072059571	-0.40156002469755564	NA	NA	nobound	1477	all	10_10	1	no	5000	5000	all	4_4	239	herstellen	0.17156982656988307	BOW	all_5000	c3	0
herstellen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.12269327079130896	-0.10461642434884508	NA	NA	nobound	1477	all	10_10	1	no	FOC	769	nav	4_4	239	herstellen	0.17867708240207913	BOW	nav_FOC	c3	0
herstellen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.15998933183378788	-0.18136434362366557	NA	NA	nobound	1477	all	10_10	1	no	FOC	1477	all	4_4	239	herstellen	0.1725421043925273	BOW	all_FOC	c3	0
herstellen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.11484078708544351	0.116792776195644	NA	NA	nobound	319	lex	5_5	1	weight	5000	5000	nav	4_4	227	herstellen	0.1792823085447941	BOW	nav_5000	c1	0
herstellen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.1998804185448438	-0.09120019590906125	NA	NA	nobound	319	lex	5_5	1	weight	5000	5000	all	4_4	227	herstellen	0.16716239091969948	BOW	all_5000	c2	0
herstellen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.09200993182910085	0.10038764028414722	NA	NA	nobound	319	lex	5_5	1	weight	FOC	219	nav	4_4	227	herstellen	0.1713654669842914	BOW	nav_FOC	c1	0
herstellen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.0976273093487972	0.08246613016878518	NA	NA	nobound	319	lex	5_5	1	weight	FOC	319	all	4_4	227	herstellen	0.16279472447075205	BOW	all_FOC	c1	0
herstellen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.16235681133162017	0.08400901218962549	NA	NA	nobound	319	lex	5_5	1	selection	5000	5000	nav	4_4	227	herstellen	0.22362097676030976	BOW	nav_5000	c1	0
herstellen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.2167169641580855	-0.12479730044300298	NA	NA	nobound	319	lex	5_5	1	selection	5000	5000	all	4_4	227	herstellen	0.17604474190429104	BOW	all_5000	c2	0
herstellen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.10416832469058507	0.059635207098626776	NA	NA	nobound	319	lex	5_5	1	selection	FOC	219	nav	4_4	227	herstellen	0.18339789037789103	BOW	nav_FOC	c1	1
herstellen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.1106471071680853	0.04981409987877086	NA	NA	nobound	319	lex	5_5	1	selection	FOC	319	all	4_4	227	herstellen	0.17930493576105808	BOW	all_FOC	c1	0
herstellen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.19366345400778723	0.06376102321067201	NA	NA	nobound	556	lex	5_5	1	no	5000	5000	nav	4_4	238	herstellen	0.2366161221545415	BOW	nav_5000	c1	0
herstellen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.33136982272596854	-0.19786583148046144	NA	NA	nobound	556	lex	5_5	1	no	5000	5000	all	4_4	238	herstellen	0.1736314735300563	BOW	all_5000	c2	0
herstellen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.1396568465371629	0.030824725034711356	NA	NA	nobound	556	lex	5_5	1	no	FOC	401	nav	4_4	238	herstellen	0.21284817578038104	BOW	nav_FOC	c1	0
herstellen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.14609229084744635	0.024515550333638902	NA	NA	nobound	556	lex	5_5	1	no	FOC	556	all	4_4	238	herstellen	0.1989453752387012	BOW	all_FOC	c1	0
herstellen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.03134552487536142	0.17608526038607492	NA	NA	nobound	441	all	5_5	1	weight	5000	5000	nav	4_4	239	herstellen	0.1896870089667645	BOW	nav_5000	c4	0
