_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_vector	soc_length_num	soc_soc_win	tokens	type	stress	foc_base	pam_cluster	is_medoid
herstellen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.11909469846103743	0.1432062120548843	NA	NA	bound	198	lex	3_3	1	selection	nav_FOC	133	4_4	210	herstellen	0.27369998206558843	BOW	c7	0
herstellen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.1302957380446725	0.13069040141388255	NA	NA	bound	198	lex	3_3	1	selection	all_FOC	198	4_4	210	herstellen	0.274422742302746	BOW	c7	0
herstellen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.20551020791175761	0.13779121545200415	NA	NA	bound	288	lex	3_3	1	no	nav_5000	5000	4_4	232	herstellen	0.2796150010323752	BOW	c7	0
herstellen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.3347580164012515	-0.11573792943042673	NA	NA	bound	288	lex	3_3	1	no	all_5000	5000	4_4	232	herstellen	0.26978813798480866	BOW	c2	0
herstellen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.17671363369983922	0.13856219061865108	NA	NA	bound	288	lex	3_3	1	no	nav_FOC	202	4_4	232	herstellen	0.2878061453608297	BOW	c7	0
herstellen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.1776079813664159	0.1181813868067152	NA	NA	bound	288	lex	3_3	1	no	all_FOC	288	4_4	232	herstellen	0.28292433708516396	BOW	c7	0
herstellen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.10077596239904062	0.24184664143368437	NA	NA	bound	269	all	3_3	1	weight	nav_5000	5000	4_4	237	herstellen	0.25711785303526424	BOW	c6	0
herstellen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.028146976125228255	-0.1811190209022571	NA	NA	bound	269	all	3_3	1	weight	all_5000	5000	4_4	237	herstellen	0.26233525041416356	BOW	c2	0
herstellen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.022290856265268753	0.2127193644435649	NA	NA	bound	269	all	3_3	1	weight	nav_FOC	133	4_4	237	herstellen	0.2582268624395275	BOW	c4	0
herstellen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.020122577736692973	0.17973372571117832	NA	NA	bound	269	all	3_3	1	weight	all_FOC	269	4_4	237	herstellen	0.2570886818133155	BOW	c4	0
