_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
staal.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.7115635049667655	-0.43171863140601985	1	5000	5000	311	staal	NA	NA	nobound	1376	lex	10_10	no	nav	4_4	0.1297089991713718	BOW
staal.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-1.276941061723543	-2.5657335585484367	1	5000	5000	311	staal	NA	NA	nobound	1376	lex	10_10	no	all	4_4	0.16609193499545727	BOW
staal.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.5679965161985705	0.01507600092585178	1	FOC	1041	311	staal	NA	NA	nobound	1376	lex	10_10	no	nav	4_4	0.11508253654667708	BOW
staal.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.526896654744325	-0.04496317456955772	1	FOC	1376	311	staal	NA	NA	nobound	1376	lex	10_10	no	all	4_4	0.11454605908948513	BOW
staal.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.7704347880180643	-0.29688299115463357	1	5000	5000	311	staal	NA	NA	nobound	915	all	10_10	weight	nav	4_4	0.09563546477946412	BOW
staal.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	0.22799038046900524	-1.6897888827873497	1	5000	5000	311	staal	NA	NA	nobound	915	all	10_10	weight	all	4_4	0.187471447483188	BOW
staal.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-1.0642550016805716	0.3821348967575175	1	FOC	553	311	staal	NA	NA	nobound	915	all	10_10	weight	nav	4_4	0.10287145111338991	BOW
staal.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.9969788705411641	0.14894737847717282	1	FOC	915	311	staal	NA	NA	nobound	915	all	10_10	weight	all	4_4	0.10626958739276735	BOW
staal.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	-1.0421811568680577	-0.8817962911009194	1	5000	5000	311	staal	NA	NA	nobound	915	all	10_10	selection	nav	4_4	0.16018241245140583	BOW
staal.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.8038557151504202	-2.2144337180666933	1	5000	5000	311	staal	NA	NA	nobound	915	all	10_10	selection	all	4_4	0.16856577221072025	BOW
staal.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-1.0456597259711564	-0.1802794914984431	1	FOC	553	311	staal	NA	NA	nobound	915	all	10_10	selection	nav	4_4	0.12366207908876777	BOW
staal.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.8848310950421635	-0.37227441532743755	1	FOC	915	311	staal	NA	NA	nobound	915	all	10_10	selection	all	4_4	0.13180521002138024	BOW
staal.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-1.4511181397721313	-1.001476160527027	1	5000	5000	311	staal	NA	NA	nobound	1812	all	10_10	no	nav	4_4	0.15330355004811888	BOW
