_model	model.x	model.y	foc_minimum_features	soc_vector	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_win	stress	foc_base	pam_cluster	is_medoid
horde.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.05419906636693464	-0.06005710758956809	1	nav_FOC	233	274	horde	NA	NA	bound	403	all	3_3	weight	4_4	0.2514974345943422	BOW	c4	0
horde.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.03717476266552712	-0.05255011343486793	1	all_FOC	403	274	horde	NA	NA	bound	403	all	3_3	weight	4_4	0.24106786955577875	BOW	c4	0
horde.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.1936625237818527	0.2441546608004163	1	nav_5000	5000	274	horde	NA	NA	bound	403	all	3_3	selection	4_4	0.23655043198330059	BOW	c6	0
horde.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	-0.12864603602408908	0.2783002825995427	1	all_5000	5000	274	horde	NA	NA	bound	403	all	3_3	selection	4_4	0.2681537012699601	BOW	c7	0
horde.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.1008936159357732	0.0166913907149023	1	nav_FOC	233	274	horde	NA	NA	bound	403	all	3_3	selection	4_4	0.2493288982279761	BOW	c8	0
horde.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.08074974507655854	0.02449054936998756	1	all_FOC	403	274	horde	NA	NA	bound	403	all	3_3	selection	4_4	0.24601112402512496	BOW	c8	0
horde.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.2334567025585768	0.23221353101924172	1	nav_5000	5000	275	horde	NA	NA	bound	527	all	3_3	no	4_4	0.24083046955845241	BOW	c6	0
horde.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	-0.18911862643871638	0.3064494372561743	1	all_5000	5000	275	horde	NA	NA	bound	527	all	3_3	no	4_4	0.2736115908521039	BOW	c7	0
horde.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.13171868852436	0.013327188213553796	1	nav_FOC	289	275	horde	NA	NA	bound	527	all	3_3	no	4_4	0.24749769724606888	BOW	c8	0
horde.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.1396239346909283	0.012466874760704239	1	all_FOC	527	275	horde	NA	NA	bound	527	all	3_3	no	4_4	0.23256032618395647	BOW	c8	0
horde.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.034198780754083814	-0.19044201665536545	1	nav_5000	5000	273	horde	NA	NA	nobound	583	lex	10_10	weight	4_4	0.2524592277622053	BOW	c1	0
horde.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.30860148054664477	-0.11585782002068096	1	all_5000	5000	273	horde	NA	NA	nobound	583	lex	10_10	weight	4_4	0.26881812271099714	BOW	c2	0
horde.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.02493954355649918	-0.21776422524329883	1	nav_FOC	422	273	horde	NA	NA	nobound	583	lex	10_10	weight	4_4	0.2530593308759671	BOW	c1	0
horde.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	0.015431015808958452	-0.20400303646088078	1	all_FOC	583	273	horde	NA	NA	nobound	583	lex	10_10	weight	4_4	0.2490830495529816	BOW	c1	0
horde.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.04169271092187189	-0.24487885091564313	1	nav_5000	5000	273	horde	NA	NA	nobound	583	lex	10_10	selection	4_4	0.2505328185292364	BOW	c1	0
horde.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.3422329443874785	-0.13510073446030105	1	all_5000	5000	273	horde	NA	NA	nobound	583	lex	10_10	selection	4_4	0.2590736605535483	BOW	c2	0
horde.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.04110177461305551	-0.20584064565707794	1	nav_FOC	422	273	horde	NA	NA	nobound	583	lex	10_10	selection	4_4	0.24087730826692688	BOW	c1	0
horde.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	0.03724445142516952	-0.20380520624075854	1	all_FOC	583	273	horde	NA	NA	nobound	583	lex	10_10	selection	4_4	0.23658324531150407	BOW	c1	0
horde.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.121618464545163	-0.36600635836250994	1	nav_5000	5000	276	horde	NA	NA	nobound	1238	lex	10_10	no	4_4	6.533648632903821e-5	BOW	c3	0
horde.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.4575015598868978	-0.26061811965922055	1	all_5000	5000	276	horde	NA	NA	nobound	1238	lex	10_10	no	4_4	0.26072461321844537	BOW	c2	0
horde.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	0.14324016106679424	-0.2684848448656474	1	nav_FOC	894	276	horde	NA	NA	nobound	1238	lex	10_10	no	4_4	0.19094338417137738	BOW	c3	0
horde.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	0.14546537134092183	-0.2838240303077186	1	all_FOC	1238	276	horde	NA	NA	nobound	1238	lex	10_10	no	4_4	0.12844066773442558	BOW	c3	0
horde.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.029722808130943402	-0.10553868343266722	1	nav_5000	5000	277	horde	NA	NA	nobound	790	all	10_10	weight	4_4	0.23287036946870884	BOW	c4	0
horde.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.24126617102894712	-0.0763064067692227	1	all_5000	5000	277	horde	NA	NA	nobound	790	all	10_10	weight	4_4	0.25991300522146094	BOW	c5	0
horde.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.08776086610027638	-0.1489900138571549	1	nav_FOC	422	277	horde	NA	NA	nobound	790	all	10_10	weight	4_4	0.23646199460441303	BOW	c4	0
horde.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.07816826155251236	-0.14079163389789134	1	all_FOC	790	277	horde	NA	NA	nobound	790	all	10_10	weight	4_4	0.22290131243537098	BOW	c4	0
horde.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.27212048357069807	-0.029499386892683437	1	nav_5000	5000	277	horde	NA	NA	nobound	790	all	10_10	selection	4_4	0.15852963706696538	BOW	c3	0
