_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herstellen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.16068316009726935	-0.14278176210094884	NA	NA	bound	198	lex	3_3	1	weight	5000	5000	nav	4_4	210	herstellen	0.2687723572093622	BOW
herstellen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.1643278889000789	-0.1795138283509106	NA	NA	bound	198	lex	3_3	1	weight	5000	5000	all	4_4	210	herstellen	0.2749685132144547	BOW
herstellen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1643667092213879	-0.11893197238156368	NA	NA	bound	198	lex	3_3	1	weight	FOC	133	nav	4_4	210	herstellen	0.27408589237334163	BOW
herstellen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1627525327157038	-0.11082874208600652	NA	NA	bound	198	lex	3_3	1	weight	FOC	198	all	4_4	210	herstellen	0.27888447708547837	BOW
herstellen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.20588965983671603	-0.10353163691792505	NA	NA	bound	198	lex	3_3	1	selection	5000	5000	nav	4_4	210	herstellen	0.2677792669200199	BOW
herstellen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.17297725891281687	-0.157700187878052	NA	NA	bound	198	lex	3_3	1	selection	5000	5000	all	4_4	210	herstellen	0.27208349342432564	BOW
herstellen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1895035931379621	-0.08489209985874434	NA	NA	bound	198	lex	3_3	1	selection	FOC	133	nav	4_4	210	herstellen	0.27369998206558843	BOW
herstellen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.19525337178529278	-0.07667258576789174	NA	NA	bound	198	lex	3_3	1	selection	FOC	198	all	4_4	210	herstellen	0.274422742302746	BOW
herstellen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.2717000708136133	-0.08107664177780753	NA	NA	bound	288	lex	3_3	1	no	5000	5000	nav	4_4	232	herstellen	0.2796150010323752	BOW
herstellen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.2668353961916762	-0.1504862316220006	NA	NA	bound	288	lex	3_3	1	no	5000	5000	all	4_4	232	herstellen	0.26978813798480866	BOW
