_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
heet.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	2.402797208667733	1.8230060514656257	NA	NA	BOW	nobound	1838	all	10_10	1	no	5000	5000	all	4_4	332	heet
heet.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.5979249249926768	1.709175264033761	NA	NA	BOW	nobound	1838	all	10_10	1	no	FOC	1001	nav	4_4	332	heet
heet.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.46778479334214884	1.847009055383848	NA	NA	BOW	nobound	1838	all	10_10	1	no	FOC	1838	all	4_4	332	heet
heet.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.8282739081195978	-0.35225421517663286	NA	NA	BOW	nobound	443	lex	5_5	1	weight	5000	5000	nav	4_4	328	heet
heet.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.3142287335303635	-1.2119843846425595	NA	NA	BOW	nobound	443	lex	5_5	1	weight	5000	5000	all	4_4	328	heet
heet.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.9775461404660433	-0.059152285405430396	NA	NA	BOW	nobound	443	lex	5_5	1	weight	FOC	312	nav	4_4	328	heet
heet.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.9270338105826135	-0.08279695867878159	NA	NA	BOW	nobound	443	lex	5_5	1	weight	FOC	443	all	4_4	328	heet
heet.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.7986920685627366	-0.48244599716948294	NA	NA	BOW	nobound	443	lex	5_5	1	selection	5000	5000	nav	4_4	328	heet
heet.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.17639134719858043	-1.3507359947194988	NA	NA	BOW	nobound	443	lex	5_5	1	selection	5000	5000	all	4_4	328	heet
heet.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8837226312223923	0.027074662551828273	NA	NA	BOW	nobound	443	lex	5_5	1	selection	FOC	312	nav	4_4	328	heet
heet.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.8560531805827152	-0.007629887254841796	NA	NA	BOW	nobound	443	lex	5_5	1	selection	FOC	443	all	4_4	328	heet
heet.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.0341803734227057	-0.5741532319879995	NA	NA	BOW	nobound	709	lex	5_5	1	no	5000	5000	nav	4_4	332	heet
heet.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	0.1994649493043556	-1.965101760425611	NA	NA	BOW	nobound	709	lex	5_5	1	no	5000	5000	all	4_4	332	heet
heet.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.00135330792326	0.11303445989484666	NA	NA	BOW	nobound	709	lex	5_5	1	no	FOC	521	nav	4_4	332	heet
heet.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.9808738844830643	0.07748244799248201	NA	NA	BOW	nobound	709	lex	5_5	1	no	FOC	709	all	4_4	332	heet
heet.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.5204662963754753	-0.4074327286676866	NA	NA	BOW	nobound	564	all	5_5	1	weight	5000	5000	nav	4_4	332	heet
heet.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	0.2895471875850342	-1.1307221431051468	NA	NA	BOW	nobound	564	all	5_5	1	weight	5000	5000	all	4_4	332	heet
heet.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8354540807171416	0.03610059430196527	NA	NA	BOW	nobound	564	all	5_5	1	weight	FOC	312	nav	4_4	332	heet
heet.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.790962991249174	0.006965114343548844	NA	NA	BOW	nobound	564	all	5_5	1	weight	FOC	564	all	4_4	332	heet
heet.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.5626331826510065	0.9368726855163007	NA	NA	BOW	nobound	564	all	5_5	1	selection	5000	5000	nav	4_4	332	heet
heet.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	1.9050003759855294	0.16125527450465515	NA	NA	BOW	nobound	564	all	5_5	1	selection	5000	5000	all	4_4	332	heet
heet.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.34347098979517077	0.5341447370601615	NA	NA	BOW	nobound	564	all	5_5	1	selection	FOC	312	nav	4_4	332	heet
heet.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.2565371183062995	0.5406327669685581	NA	NA	BOW	nobound	564	all	5_5	1	selection	FOC	564	all	4_4	332	heet
heet.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.6768110318320321	1.2869875511770112	NA	NA	BOW	nobound	955	all	5_5	1	no	5000	5000	nav	4_4	332	heet
heet.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	2.4942143105408996	0.5881439138009227	NA	NA	BOW	nobound	955	all	5_5	1	no	5000	5000	all	4_4	332	heet
heet.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.2316791148940404	0.859625367476038	NA	NA	BOW	nobound	955	all	5_5	1	no	FOC	521	nav	4_4	332	heet
heet.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.13937702025628176	0.9015632115679039	NA	NA	BOW	nobound	955	all	5_5	1	no	FOC	955	all	4_4	332	heet
heet.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.5499446130312302	-0.4056578900490961	NA	NA	BOW	nobound	297	lex	3_3	1	weight	5000	5000	nav	4_4	316	heet
heet.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.022781950287005217	-1.190021332641921	NA	NA	BOW	nobound	297	lex	3_3	1	weight	5000	5000	all	4_4	316	heet
heet.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6974167978917927	-0.07723480035091632	NA	NA	BOW	nobound	297	lex	3_3	1	weight	FOC	212	nav	4_4	316	heet
heet.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.657064020471369	-0.1038982690066397	NA	NA	BOW	nobound	297	lex	3_3	1	weight	FOC	297	all	4_4	316	heet
heet.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.48489812670168536	-0.484458447118818	NA	NA	BOW	nobound	297	lex	3_3	1	selection	5000	5000	nav	4_4	316	heet
heet.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.044276451142894406	-1.241981737491616	NA	NA	BOW	nobound	297	lex	3_3	1	selection	5000	5000	all	4_4	316	heet
heet.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5775625223681446	-0.0260985608273121	NA	NA	BOW	nobound	297	lex	3_3	1	selection	FOC	212	nav	4_4	316	heet
heet.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.53370789947994135	-0.07039924876454573	NA	NA	BOW	nobound	297	lex	3_3	1	selection	FOC	297	all	4_4	316	heet
heet.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.7238234276701948	-0.6269810725350565	NA	NA	BOW	nobound	406	lex	3_3	1	no	5000	5000	nav	4_4	326	heet
heet.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	0.10857417189718645	-1.613210177085481	NA	NA	BOW	nobound	406	lex	3_3	1	no	5000	5000	all	4_4	326	heet
heet.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.7255584937224199	-0.11488784883232885	NA	NA	BOW	nobound	406	lex	3_3	1	no	FOC	301	nav	4_4	326	heet
heet.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.6681294506724658	-0.143802581586025	NA	NA	BOW	nobound	406	lex	3_3	1	no	FOC	406	all	4_4	326	heet
heet.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.2785293351507241	-0.4582754960774463	NA	NA	BOW	nobound	377	all	3_3	1	weight	5000	5000	nav	4_4	331	heet
heet.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	0.5894113616434739	-1.183140200079529	NA	NA	BOW	nobound	377	all	3_3	1	weight	5000	5000	all	4_4	331	heet
heet.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.5650960235065324	0.023952439984754305	NA	NA	BOW	nobound	377	all	3_3	1	weight	FOC	212	nav	4_4	331	heet
heet.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.48939368183938425	-0.05385075101871176	NA	NA	BOW	nobound	377	all	3_3	1	weight	FOC	377	all	4_4	331	heet
heet.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.9176343015204249	0.6397831538271705	NA	NA	BOW	nobound	377	all	3_3	1	selection	5000	5000	nav	4_4	331	heet
