_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
hoop.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.6694840471921667	-0.5248977606789562	1	5000	5000	311	hoop	NA	NA	bound	458	all	5_5	selection	nav	4_4	0.19788531209464535	BOW
hoop.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	1.004168899437983	-0.8057953376148032	1	5000	5000	311	hoop	NA	NA	bound	458	all	5_5	selection	all	4_4	0.19295073955166217	BOW
hoop.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.18454673645051647	-0.24325467896967065	1	FOC	260	311	hoop	NA	NA	bound	458	all	5_5	selection	nav	4_4	0.21128858507197124	BOW
hoop.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.1349855629105473	-0.22257476372498045	1	FOC	458	311	hoop	NA	NA	bound	458	all	5_5	selection	all	4_4	0.199228622073865	BOW
hoop.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.6187706848848479	-0.8898525396946002	1	5000	5000	311	hoop	NA	NA	bound	872	all	5_5	no	nav	4_4	0.21219031121366094	BOW
hoop.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	1.1664036779376987	-1.3760188056251077	1	5000	5000	311	hoop	NA	NA	bound	872	all	5_5	no	all	4_4	0.21792804243277877	BOW
hoop.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.17016517177320492	-0.6632774579142221	1	FOC	495	311	hoop	NA	NA	bound	872	all	5_5	no	nav	4_4	0.21285842312434358	BOW
hoop.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.09791681447336213	-0.658359022936894	1	FOC	872	311	hoop	NA	NA	bound	872	all	5_5	no	all	4_4	0.19539148019856434	BOW
hoop.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.5515760099539643	0.365129209327615	1	5000	5000	263	hoop	NA	NA	bound	252	lex	3_3	weight	nav	4_4	0.2750488262733896	BOW
hoop.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.5932240560111993	0.02706133937757806	1	5000	5000	263	hoop	NA	NA	bound	252	lex	3_3	weight	all	4_4	0.19922933852175403	BOW
