_model	model.x	model.y	minimum_contextwords	focc_part_of_speech	focc_sent_bound	socc_corpus	socc_length	socc_length_num	socc_window	focc_token_window	tokens	type	focc_weighting	stress
church_nocomp.5_5.nvjid.noweight.nobound.c.5_5.focc.2	0.23630829355893443	-0.13824710601647214	2	nvjid	FALSE	c	focc	24583	5_5	5_5	249	church_nocomp	noweight	0.23010600645809764
church_nocomp.5_5.nvjid.noweight.nobound.c.5_5.focc.3	0.21173206999252772	-0.07846147665189412	3	nvjid	FALSE	c	focc	24583	5_5	5_5	245	church_nocomp	noweight	0.23500522774925142
church_nocomp.10_10.nvjid.noweight.nobound.c.5_5.5000.2	0.1054163327111833	0.0192585709196675	2	nvjid	FALSE	c	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.22212833676659646
church_nocomp.10_10.nvjid.noweight.nobound.c.5_5.5000.3	0.04679661081276108	0.003337455007305987	3	nvjid	FALSE	c	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.21987408856772422
church_nocomp.10_10.nvjid.noweight.nobound.c.5_5.10000.2	0.062189677843946106	0.004211656166194095	2	nvjid	FALSE	c	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.22589014025205556
church_nocomp.10_10.nvjid.noweight.nobound.c.5_5.10000.3	0.062189677843946106	0.004211656166194095	3	nvjid	FALSE	c	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.22589014025205556
church_nocomp.10_10.nvjid.noweight.nobound.c.5_5.focc.2	0.12675319534508736	0.0408847968632064	2	nvjid	FALSE	c	focc	24583	5_5	10_10	249	church_nocomp	noweight	0.2368409386587942
church_nocomp.10_10.nvjid.noweight.nobound.c.5_5.focc.3	0.12675319534508736	0.0408847968632064	3	nvjid	FALSE	c	focc	24583	5_5	10_10	249	church_nocomp	noweight	0.2368409386587942
church_nocomp.5_5.none.ppmi.nobound.c.5_5.5000.2	-0.13714550225571642	-0.14379554976559702	2	none	FALSE	c	5000	3224	5_5	5_5	240	church_nocomp	ppmi	0.2382508762523839
church_nocomp.5_5.none.ppmi.nobound.c.5_5.5000.3	-0.1272675519710673	-0.13560294251565602	3	none	FALSE	c	5000	3224	5_5	5_5	211	church_nocomp	ppmi	0.23715200773353554
church_nocomp.5_5.none.ppmi.nobound.c.5_5.10000.2	-0.13065188037859354	-0.18965453346380612	2	none	FALSE	c	10000	3224	5_5	5_5	240	church_nocomp	ppmi	0.2391801685361215
church_nocomp.5_5.none.ppmi.nobound.c.5_5.10000.3	-0.13790901555566698	-0.1287423418759889	3	none	FALSE	c	10000	3224	5_5	5_5	211	church_nocomp	ppmi	0.23730429144649356
church_nocomp.5_5.none.ppmi.nobound.c.5_5.focc.2	-0.12253837247780294	-0.1650929553925695	2	none	FALSE	c	focc	3224	5_5	5_5	240	church_nocomp	ppmi	0.23891178313783817
church_nocomp.5_5.none.ppmi.nobound.c.5_5.focc.3	-0.1256266038534947	-0.1437438140998675	3	none	FALSE	c	focc	3224	5_5	5_5	211	church_nocomp	ppmi	0.23667308295887088
church_nocomp.10_10.none.ppmi.nobound.c.5_5.5000.2	-0.11231308494342662	-0.14329856519076054	2	none	FALSE	c	5000	3224	5_5	10_10	247	church_nocomp	ppmi	0.2390954111118519
church_nocomp.10_10.none.ppmi.nobound.c.5_5.5000.3	-0.12823337254439207	-0.11095391139677002	3	none	FALSE	c	5000	3224	5_5	10_10	244	church_nocomp	ppmi	0.23737709858296052
church_nocomp.10_10.none.ppmi.nobound.c.5_5.10000.2	-0.13215632395221721	-0.11306931451994591	2	none	FALSE	c	10000	3224	5_5	10_10	247	church_nocomp	ppmi	0.23793108340883917
church_nocomp.10_10.none.ppmi.nobound.c.5_5.10000.3	-0.11753958875913044	-0.127522633939985	3	none	FALSE	c	10000	3224	5_5	10_10	244	church_nocomp	ppmi	0.23761893664452227
church_nocomp.10_10.none.ppmi.nobound.c.5_5.focc.2	-0.11604363310209904	-0.12595294746911237	2	none	FALSE	c	focc	3224	5_5	10_10	247	church_nocomp	ppmi	0.23732883293259333
church_nocomp.10_10.none.ppmi.nobound.c.5_5.focc.3	-0.12660471118102073	-0.10851843254855344	3	none	FALSE	c	focc	3224	5_5	10_10	244	church_nocomp	ppmi	0.2381489654615365
church_nocomp.5_5.none.noweight.nobound.c.5_5.5000.2	0.21785253472722882	0.04163492847069272	2	none	FALSE	c	5000	5000	5_5	5_5	249	church_nocomp	noweight	0.2178860081075427
church_nocomp.5_5.none.noweight.nobound.c.5_5.5000.3	0.21785253472722882	0.04163492847069272	3	none	FALSE	c	5000	5000	5_5	5_5	249	church_nocomp	noweight	0.2178860081075427
church_nocomp.5_5.none.noweight.nobound.c.5_5.10000.2	0.2589759102995885	0.05111233377894142	2	none	FALSE	c	10000	10000	5_5	5_5	249	church_nocomp	noweight	0.22572149793373714
church_nocomp.5_5.none.noweight.nobound.c.5_5.10000.3	0.26263089687495345	0.0524883836428292	3	none	FALSE	c	10000	10000	5_5	5_5	249	church_nocomp	noweight	0.22537567227920519
church_nocomp.5_5.none.noweight.nobound.c.5_5.focc.2	0.32663891187010674	0.12884331195440463	2	none	FALSE	c	focc	27085	5_5	5_5	249	church_nocomp	noweight	0.23910130363121296
church_nocomp.5_5.none.noweight.nobound.c.5_5.focc.3	0.32663891187010674	0.12884331195440463	3	none	FALSE	c	focc	27085	5_5	5_5	249	church_nocomp	noweight	0.23910130363121296
church_nocomp.10_10.none.noweight.nobound.c.5_5.5000.2	0.21298931042796754	0.10732271341281623	2	none	FALSE	c	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.2012782186973826
church_nocomp.10_10.none.noweight.nobound.c.5_5.5000.3	0.21132547082295505	0.1052784727982834	3	none	FALSE	c	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.20126500463060457
church_nocomp.10_10.none.noweight.nobound.c.5_5.10000.2	0.2235083061026219	0.09164748359904944	2	none	FALSE	c	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.21382144798842515
