_model	model.x	model.y	minimum_contextwords	focc_part_of_speech	focc_sent_bound	socc_corpus	socc_length	socc_length_num	socc_window	focc_token_window	tokens	type	focc_weighting	stress
church_nocomp.5_5.none.ppmi.nobound.s.10_10.5000.2	-0.15298214599989757	0.10319831331931055	2	none	FALSE	s	5000	1510	10_10	5_5	249	church_nocomp	ppmi	0.29621159479898324
church_nocomp.5_5.none.ppmi.nobound.s.10_10.5000.3	-0.13749713683467196	0.0724029380718184	3	none	FALSE	s	5000	1510	10_10	5_5	244	church_nocomp	ppmi	0.29687181486944997
church_nocomp.5_5.none.ppmi.nobound.s.10_10.10000.2	-0.10722263663961613	0.030157649853265883	2	none	FALSE	s	10000	1510	10_10	5_5	249	church_nocomp	ppmi	0.29801400761280405
church_nocomp.5_5.none.ppmi.nobound.s.10_10.10000.3	-0.18605003576380155	0.08033919225916727	3	none	FALSE	s	10000	1510	10_10	5_5	244	church_nocomp	ppmi	0.294959850456561
church_nocomp.5_5.none.ppmi.nobound.s.10_10.focc.2	-0.1633419930165767	0.05897636712904614	2	none	FALSE	s	focc	1510	10_10	5_5	249	church_nocomp	ppmi	0.29704156375578605
church_nocomp.5_5.none.ppmi.nobound.s.10_10.focc.3	-0.19162565781686425	0.11588795096688842	3	none	FALSE	s	focc	1510	10_10	5_5	244	church_nocomp	ppmi	0.29702153817127713
church_nocomp.10_10.none.ppmi.nobound.s.10_10.5000.2	-0.14389208352714714	-0.0032721533807567333	2	none	FALSE	s	5000	1510	10_10	10_10	249	church_nocomp	ppmi	0.2771933132661091
church_nocomp.10_10.none.ppmi.nobound.s.10_10.5000.3	-0.14389208352714714	-0.0032721533807567333	3	none	FALSE	s	5000	1510	10_10	10_10	249	church_nocomp	ppmi	0.2771933132661091
church_nocomp.10_10.none.ppmi.nobound.s.10_10.10000.2	-0.14389208352714714	-0.0032721533807567333	2	none	FALSE	s	10000	1510	10_10	10_10	249	church_nocomp	ppmi	0.2771933132661091
church_nocomp.10_10.none.ppmi.nobound.s.10_10.10000.3	-0.14389208352714714	-0.0032721533807567333	3	none	FALSE	s	10000	1510	10_10	10_10	249	church_nocomp	ppmi	0.2771933132661091
church_nocomp.10_10.none.ppmi.nobound.s.10_10.focc.2	-0.14389208352714714	-0.0032721533807567333	2	none	FALSE	s	focc	1510	10_10	10_10	249	church_nocomp	ppmi	0.2771933132661091
church_nocomp.10_10.none.ppmi.nobound.s.10_10.focc.3	-0.14389208352714714	-0.0032721533807567333	3	none	FALSE	s	focc	1510	10_10	10_10	249	church_nocomp	ppmi	0.2771933132661091
church_nocomp.5_5.none.noweight.nobound.s.10_10.5000.2	0.1474693813715348	0.15869390273011738	2	none	FALSE	s	5000	5000	10_10	5_5	249	church_nocomp	noweight	0.24152332626336784
church_nocomp.5_5.none.noweight.nobound.s.10_10.5000.3	0.13849340125882045	0.16078156109191521	3	none	FALSE	s	5000	5000	10_10	5_5	249	church_nocomp	noweight	0.24155891843129257
church_nocomp.5_5.none.noweight.nobound.s.10_10.10000.2	0.18104835779214476	0.24290950346795276	2	none	FALSE	s	10000	10000	10_10	5_5	249	church_nocomp	noweight	0.24778646475448665
church_nocomp.5_5.none.noweight.nobound.s.10_10.10000.3	0.15935694776703113	0.2045362004234403	3	none	FALSE	s	10000	10000	10_10	5_5	249	church_nocomp	noweight	0.24648437730140843
church_nocomp.5_5.none.noweight.nobound.s.10_10.focc.2	0.30509998833138535	0.3341244047678835	2	none	FALSE	s	focc	34786	10_10	5_5	249	church_nocomp	noweight	0.26518950072996605
church_nocomp.5_5.none.noweight.nobound.s.10_10.focc.3	0.3050999883295017	0.3341244047655097	3	none	FALSE	s	focc	34786	10_10	5_5	249	church_nocomp	noweight	0.26518950072996605
church_nocomp.10_10.none.noweight.nobound.s.10_10.5000.2	0.17527720620718648	0.1262564058997689	2	none	FALSE	s	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.22750399900922985
church_nocomp.10_10.none.noweight.nobound.s.10_10.5000.3	0.17527720620718648	0.1262564058997689	3	none	FALSE	s	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.22750399900922985
church_nocomp.10_10.none.noweight.nobound.s.10_10.10000.2	0.2033254794368586	0.14380166838468733	2	none	FALSE	s	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.2386866011985827
church_nocomp.10_10.none.noweight.nobound.s.10_10.10000.3	0.2033254794368586	0.14380166838468733	3	none	FALSE	s	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.2386866011985827
church_nocomp.10_10.none.noweight.nobound.s.10_10.focc.2	0.3300996886231422	0.2630717518400915	2	none	FALSE	s	focc	34786	10_10	10_10	249	church_nocomp	noweight	0.27417781567298066
church_nocomp.10_10.none.noweight.nobound.s.10_10.focc.3	0.3300996886231418	0.2630717518400912	3	none	FALSE	s	focc	34786	10_10	10_10	249	church_nocomp	noweight	0.27417781567298066
