_model	minimum_contextwords	part_of_speech	sent_bound	socc_corpus	socc_length	socc_length_num	socc_window	token_window	tokens	type	weighting	stress
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.10_10.5000.2	2	nvjid	False	COHA	5e3	5000	10_10	10_10	246	church_nocomp	ppmi	0.23644879504404517
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.5_5.5000.3	3	nvjid	False	COHA	5e3	5000	5_5	10_10	243	church_nocomp	ppmi	0.24029685241110568
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.10_10.5000.3	3	nvjid	False	COHA	5e3	5000	10_10	10_10	243	church_nocomp	ppmi	0.23636429588133065
church_nocomp.10_10.nvjid.noweight.nobound.COHA.5_5.5000.2	2	nvjid	False	COHA	5e3	5000	5_5	10_10	249	church_nocomp	noweight	0.22066837664745828
church_nocomp.10_10.nvjid.noweight.nobound.COHA.10_10.5000.2	2	nvjid	False	COHA	5e3	5000	10_10	10_10	249	church_nocomp	noweight	0.2032260562499526
church_nocomp.10_10.nvjid.noweight.nobound.COHA.5_5.5000.3	3	nvjid	False	COHA	5e3	5000	5_5	10_10	249	church_nocomp	noweight	0.21915324962015503
church_nocomp.10_10.nvjid.noweight.nobound.COHA.10_10.5000.3	3	nvjid	False	COHA	5e3	5000	10_10	10_10	249	church_nocomp	noweight	0.20635321135887616
church_nocomp.10_10.none.ppmi.nobound.COHA.5_5.5000.2	2	none	False	COHA	5e3	5000	5_5	10_10	248	church_nocomp	ppmi	0.24273088058667455
church_nocomp.10_10.none.ppmi.nobound.COHA.10_10.5000.2	2	none	False	COHA	5e3	5000	10_10	10_10	248	church_nocomp	ppmi	0.2360088658393651
church_nocomp.10_10.none.ppmi.nobound.COHA.5_5.5000.3	3	none	False	COHA	5e3	5000	5_5	10_10	247	church_nocomp	ppmi	0.24271677426991747
church_nocomp.10_10.none.ppmi.nobound.COHA.10_10.5000.3	3	none	False	COHA	5e3	5000	10_10	10_10	247	church_nocomp	ppmi	0.23766055317644402
church_nocomp.10_10.none.noweight.nobound.COHA.5_5.5000.2	2	none	False	COHA	5e3	5000	5_5	10_10	249	church_nocomp	noweight	0.2013588377393838
church_nocomp.10_10.none.noweight.nobound.COHA.10_10.5000.2	2	none	False	COHA	5e3	5000	10_10	10_10	249	church_nocomp	noweight	0.18848586727303393
church_nocomp.10_10.none.noweight.nobound.COHA.5_5.5000.3	3	none	False	COHA	5e3	5000	5_5	10_10	249	church_nocomp	noweight	0.20133557614674605
church_nocomp.10_10.none.noweight.nobound.COHA.10_10.5000.3	3	none	False	COHA	5e3	5000	10_10	10_10	249	church_nocomp	noweight	0.1884367696773165
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.5_5.5000.2	2	nvj	False	Semcor	5e3	5000	5_5	10_10	249	church_nocomp	ppmi	0.2842843542611099
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.10_10.5000.2	2	nvj	False	Semcor	5e3	5000	10_10	10_10	249	church_nocomp	ppmi	0.276905728416199
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.5_5.5000.3	3	nvj	False	Semcor	5e3	5000	5_5	10_10	247	church_nocomp	ppmi	0.28661780211793464
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.10_10.5000.3	3	nvj	False	Semcor	5e3	5000	10_10	10_10	247	church_nocomp	ppmi	0.2779061100033876
church_nocomp.10_10.nvj.noweight.nobound.Semcor.5_5.5000.2	2	nvj	False	Semcor	5e3	5000	5_5	10_10	249	church_nocomp	noweight	0.2614756705610502
church_nocomp.10_10.nvj.noweight.nobound.Semcor.10_10.5000.2	2	nvj	False	Semcor	5e3	5000	10_10	10_10	249	church_nocomp	noweight	0.25027002989877806
church_nocomp.10_10.nvj.noweight.nobound.Semcor.5_5.5000.3	3	nvj	False	Semcor	5e3	5000	5_5	10_10	249	church_nocomp	noweight	0.2620816335949628
church_nocomp.10_10.nvj.noweight.nobound.Semcor.10_10.5000.3	3	nvj	False	Semcor	5e3	5000	10_10	10_10	249	church_nocomp	noweight	0.2507041393070249
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.5_5.5000.2	2	nvjid	False	Semcor	5e3	5000	5_5	10_10	249	church_nocomp	ppmi	0.2816223390005058
