_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herroepen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.501054190700246	-0.6199104383952388	NA	NA	nobound	384	lex	5_5	1	selection	5000	5000	nav	4_4	234	herroepen	0.23036379713542496	BOW
herroepen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.7294497280261646	-0.7798053793144075	NA	NA	nobound	384	lex	5_5	1	selection	5000	5000	all	4_4	234	herroepen	0.24059288556032074	BOW
herroepen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.3705328696358842	-0.5254034033156577	NA	NA	nobound	384	lex	5_5	1	selection	FOC	282	nav	4_4	234	herroepen	0.2132303901815459	BOW
herroepen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.3766492589743066	-0.5100315665821367	NA	NA	nobound	384	lex	5_5	1	selection	FOC	384	all	4_4	234	herroepen	0.21189098200861495	BOW
herroepen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.574501489948613	-0.8530000530226882	NA	NA	nobound	525	lex	5_5	1	no	5000	5000	nav	4_4	235	herroepen	0.2544934901891409	BOW
herroepen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.8244311989705752	-1.0330833087553777	NA	NA	nobound	525	lex	5_5	1	no	5000	5000	all	4_4	235	herroepen	0.23159684589388693	BOW
herroepen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.3707346796361901	-0.6625214764619665	NA	NA	nobound	525	lex	5_5	1	no	FOC	377	nav	4_4	235	herroepen	0.21981410595629058	BOW
herroepen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.37482936808444334	-0.6658216864422501	NA	NA	nobound	525	lex	5_5	1	no	FOC	525	all	4_4	235	herroepen	0.21622651664569517	BOW
herroepen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.3441214753897008	-0.4417019055891243	NA	NA	nobound	519	all	5_5	1	weight	5000	5000	nav	4_4	236	herroepen	0.19048738286485692	BOW
herroepen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.723103095310143	-0.723277075252868	NA	NA	nobound	519	all	5_5	1	weight	5000	5000	all	4_4	236	herroepen	0.2373958195330078	BOW
herroepen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.3007516483655716	-0.4880258026339901	NA	NA	nobound	519	all	5_5	1	weight	FOC	282	nav	4_4	236	herroepen	0.17251613347501996	BOW
herroepen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.3067651450520899	-0.4712853666424425	NA	NA	nobound	519	all	5_5	1	weight	FOC	519	all	4_4	236	herroepen	0.17549687603873618	BOW
herroepen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.8440810827978954	-0.436964967585976	NA	NA	nobound	519	all	5_5	1	selection	5000	5000	nav	4_4	236	herroepen	0.2316587114835964	BOW
herroepen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	-0.3470179358589033	1.1622888918960275	NA	NA	nobound	519	all	5_5	1	selection	5000	5000	all	4_4	236	herroepen	0.27705086142368124	BOW
herroepen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.23783947005214692	-0.36127713130445266	NA	NA	nobound	519	all	5_5	1	selection	FOC	282	nav	4_4	236	herroepen	0.21989499273534716	BOW
herroepen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.1525846457000846	-0.32031760136877846	NA	NA	nobound	519	all	5_5	1	selection	FOC	519	all	4_4	236	herroepen	0.22782220128245184	BOW
herroepen.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	1.4603926607870354	-0.1745298191486088	NA	NA	nobound	743	all	5_5	1	no	5000	5000	nav	4_4	236	herroepen	0.2293818186636189	BOW
herroepen.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	0.6708278294296194	1.9855887705359196	NA	NA	nobound	743	all	5_5	1	no	5000	5000	all	4_4	236	herroepen	0.245285417046301	BOW
herroepen.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.6295808774769466	-0.4721866314718757	NA	NA	nobound	743	all	5_5	1	no	FOC	377	nav	4_4	236	herroepen	0.22651220218280327	BOW
herroepen.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	0.6314938108323425	-0.48859747415564	NA	NA	nobound	743	all	5_5	1	no	FOC	743	all	4_4	236	herroepen	0.22366763516167587	BOW
herroepen.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.0009770032433207	-0.17322375477227464	NA	NA	nobound	270	lex	3_3	1	weight	5000	5000	nav	4_4	229	herroepen	0.17350126613835323	BOW
herroepen.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	-1.240900951965712	-0.06767467318781177	NA	NA	nobound	270	lex	3_3	1	weight	5000	5000	all	4_4	229	herroepen	0.22786734228111227	BOW
