_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
harden.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9220948018939039	-0.414035272870485	NA	NA	nobound	431	lex	10_10	1	selection	FOC	295	nav	4_4	279	harden	0.17246374386762905	BOW
harden.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.7982115852871462	-0.3997972486472543	NA	NA	nobound	431	lex	10_10	1	selection	FOC	431	all	4_4	279	harden	0.1637611347471654	BOW
harden.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.4355154751430008	-0.33652223327187264	NA	NA	nobound	1107	lex	10_10	1	no	5000	5000	nav	4_4	279	harden	0.2008957207314596	BOW
harden.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-2.278464183303413	-0.6195542582606914	NA	NA	nobound	1107	lex	10_10	1	no	5000	5000	all	4_4	279	harden	0.2166374876941233	BOW
harden.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.4581918861504113	-0.23354244841768373	NA	NA	nobound	1107	lex	10_10	1	no	FOC	790	nav	4_4	279	harden	0.16675288818536543	BOW
harden.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.3525621420692049	-0.2648755572473009	NA	NA	nobound	1107	lex	10_10	1	no	FOC	1107	all	4_4	279	harden	0.17586151503156117	BOW
harden.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.5509402106808428	-0.2987927776448039	NA	NA	nobound	556	all	10_10	1	weight	5000	5000	nav	4_4	279	harden	0.12194482050083184	BOW
harden.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.8349314220289369	-0.7491071099340728	NA	NA	nobound	556	all	10_10	1	weight	5000	5000	all	4_4	279	harden	0.17491398830259441	BOW
harden.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.7862673570005497	-0.3244458589001399	NA	NA	nobound	556	all	10_10	1	weight	FOC	295	nav	4_4	279	harden	0.12338279782923194	BOW
harden.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.6908350998226569	-0.28888597443401465	NA	NA	nobound	556	all	10_10	1	weight	FOC	556	all	4_4	279	harden	0.1312104819024127	BOW
harden.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.6913532898615322	-0.16551087001943307	NA	NA	nobound	556	all	10_10	1	selection	5000	5000	nav	4_4	279	harden	0.17031777635391698	BOW
harden.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	-1.348910404143451	-1.0910436652603694	NA	NA	nobound	556	all	10_10	1	selection	5000	5000	all	4_4	279	harden	0.22434696282396188	BOW
harden.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8906978314653275	-0.23566803557027535	NA	NA	nobound	556	all	10_10	1	selection	FOC	295	nav	4_4	279	harden	0.1573653479476244	BOW
harden.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.8286785531274075	-0.22867385204477297	NA	NA	nobound	556	all	10_10	1	selection	FOC	556	all	4_4	279	harden	0.16196896303668026	BOW
harden.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-1.497193123907883	0.4788817900750952	NA	NA	nobound	1444	all	10_10	1	no	5000	5000	nav	4_4	279	harden	0.20810151013873285	BOW
