_model	model.x	model.y	minimum_contextwords	foc_part_of_speech	foc_sent_bound	soc_corpus	soc_length	soc_length_num	soc_window	foc_token_window	tokens	type	foc_weighting	stress
church_nocomp.5_5.nvjid.ppmi.nobound.Semcor.10_10.10000.2	0.12470720446560218	0.1549407683396999	2	nvjid	False	Semcor	10000	10000	10_10	5_5	247	church_nocomp	ppmi	0.2824494201666283
church_nocomp.5_5.nvjid.ppmi.nobound.Semcor.10_10.focc.2	0.17361656494099392	0.1798254876280943	2	nvjid	False	Semcor	focc	843	10_10	5_5	247	church_nocomp	ppmi	0.3001584175890991
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.5_5.5000.2	-0.3079715349169738	-0.1363375177891582	2	nvjid	False	Semcor	5000	5000	5_5	5_5	249	church_nocomp	noweight	0.253940869475678
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.5_5.10000.2	-0.40914844000863154	-0.19123790332601517	2	nvjid	False	Semcor	10000	10000	5_5	5_5	249	church_nocomp	noweight	0.24146951136906755
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.5_5.focc.2	-0.3820072899165366	-0.4144673278144029	2	nvjid	False	Semcor	focc	31607	5_5	5_5	249	church_nocomp	noweight	0.2120054430900325
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.10_10.5000.2	-0.16479277926841288	-0.05007803066181274	2	nvjid	False	Semcor	5000	5000	10_10	5_5	249	church_nocomp	noweight	0.2526237760818662
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.10_10.10000.2	-0.3543661036509811	-0.19529317541875257	2	nvjid	False	Semcor	10000	10000	10_10	5_5	249	church_nocomp	noweight	0.2536861112258864
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.10_10.focc.2	-0.4834914144324045	-0.2743642753151308	2	nvjid	False	Semcor	focc	31607	10_10	5_5	249	church_nocomp	noweight	0.23226816585656335
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.5_5.5000.3	-0.245558263669782	-0.08489610052915546	3	nvjid	False	Semcor	5000	5000	5_5	5_5	245	church_nocomp	noweight	0.2544173181893667
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.5_5.10000.3	-0.3815687524278834	-0.22596633573698982	3	nvjid	False	Semcor	10000	10000	5_5	5_5	245	church_nocomp	noweight	0.24016086663566102
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.5_5.focc.3	-0.47248336418867537	-0.3100626776928471	3	nvjid	False	Semcor	focc	31607	5_5	5_5	245	church_nocomp	noweight	0.20751617152725574
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.10_10.5000.3	-0.15138076539885506	-0.03430895083463394	3	nvjid	False	Semcor	5000	5000	10_10	5_5	245	church_nocomp	noweight	0.25187963035189753
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.10_10.10000.3	-0.30723507420401	-0.1778131610690044	3	nvjid	False	Semcor	10000	10000	10_10	5_5	245	church_nocomp	noweight	0.25451248476825455
