_id	_cws.zwart.foc10.nav.weight.bound	_cws.zwart.foc10.nav.selection.bound	_cws.zwart.foc10.nav.noweight.bound	_cws.zwart.foc10.all.weight.bound	_cws.zwart.foc10.all.selection.bound	_cws.zwart.foc10.all.noweight.bound	_cws.zwart.foc5.nav.weight.bound	_cws.zwart.foc5.nav.selection.bound	_cws.zwart.foc5.nav.noweight.bound	_cws.zwart.foc5.all.weight.bound	_cws.zwart.foc5.all.selection.bound	_cws.zwart.foc5.all.noweight.bound	_cws.zwart.foc10.nav.weight.nobound	_cws.zwart.foc10.nav.selection.nobound	_cws.zwart.foc10.nav.noweight.nobound	_cws.zwart.foc10.all.weight.nobound	_cws.zwart.foc10.all.selection.nobound	_cws.zwart.foc10.all.noweight.nobound	_cws.zwart.foc5.nav.weight.nobound	_cws.zwart.foc5.nav.selection.nobound	_cws.zwart.foc5.nav.noweight.nobound	_cws.zwart.foc5.all.weight.nobound	_cws.zwart.foc5.all.selection.nobound	_cws.zwart.foc5.all.noweight.nobound	_idxs.zwart.foc10.nav.weight.bound	_idxs.zwart.foc10.nav.selection.bound	_idxs.zwart.foc10.nav.noweight.bound	_idxs.zwart.foc10.all.weight.bound	_idxs.zwart.foc10.all.selection.bound	_idxs.zwart.foc10.all.noweight.bound	_idxs.zwart.foc5.nav.weight.bound	_idxs.zwart.foc5.nav.selection.bound	_idxs.zwart.foc5.nav.noweight.bound	_idxs.zwart.foc5.all.weight.bound	_idxs.zwart.foc5.all.selection.bound	_idxs.zwart.foc5.all.noweight.bound	_idxs.zwart.foc10.nav.weight.nobound	_idxs.zwart.foc10.nav.selection.nobound	_idxs.zwart.foc10.nav.noweight.nobound	_idxs.zwart.foc10.all.weight.nobound	_idxs.zwart.foc10.all.selection.nobound	_idxs.zwart.foc10.all.noweight.nobound	_idxs.zwart.foc5.nav.weight.nobound	_idxs.zwart.foc5.nav.selection.nobound	_idxs.zwart.foc5.nav.noweight.nobound	_idxs.zwart.foc5.all.weight.nobound	_idxs.zwart.foc5.all.selection.nobound	_idxs.zwart.foc5.all.noweight.nobound
zwart/adj/de_morgen_20010621_01_229/339	gekleed/adj;stijlvol/adj;wit/adj;zichtbaar/adj	gekleed/adj;stijlvol/adj;wit/adj;zichtbaar/adj	duidelijk/adj;gekleed/adj;stijlvol/adj;training/noun;wit/adj;zal/verb;zichtbaar/adj	gekleed/adj;in/prep;met/prep;stijlvol/adj;wit/adj;zichtbaar/adj	gekleed/adj;in/prep;met/prep;stijlvol/adj;wit/adj;zichtbaar/adj	duidelijk/adj;er/adv;gekleed/adj;ik/pron;in/prep;met/prep;stijlvol/adj;training/noun;wit/adj;zal/verb;zichtbaar/adj	gekleed/adj;wit/adj;zichtbaar/adj	gekleed/adj;wit/adj;zichtbaar/adj	duidelijk/adj;gekleed/adj;training/noun;wit/adj;zichtbaar/adj	gekleed/adj;in/prep;met/prep;wit/adj;zichtbaar/adj	gekleed/adj;in/prep;met/prep;wit/adj;zichtbaar/adj	duidelijk/adj;gekleed/adj;in/prep;met/prep;training/noun;wit/adj;zichtbaar/adj	gekleed/adj;stijlvol/adj;wit/adj;zichtbaar/adj	gekleed/adj;stijlvol/adj;wit/adj;zichtbaar/adj	duidelijk/adj;gekleed/adj;stijlvol/adj;training/noun;wit/adj;zal/verb;zichtbaar/adj	gekleed/adj;in/prep;met/prep;stijlvol/adj;wit/adj;zichtbaar/adj	gekleed/adj;in/prep;met/prep;stijlvol/adj;wit/adj;zichtbaar/adj	duidelijk/adj;er/adv;gekleed/adj;ik/pron;in/prep;met/prep;stijlvol/adj;training/noun;wit/adj;zal/verb;zichtbaar/adj	gekleed/adj;wit/adj;zichtbaar/adj	gekleed/adj;wit/adj;zichtbaar/adj	duidelijk/adj;gekleed/adj;training/noun;wit/adj;zichtbaar/adj	gekleed/adj;in/prep;met/prep;wit/adj;zichtbaar/adj	gekleed/adj;in/prep;met/prep;wit/adj;zichtbaar/adj	duidelijk/adj;gekleed/adj;in/prep;met/prep;training/noun;wit/adj;zichtbaar/adj	L5,L4,L2,R3	L5,L4,L2,R3	L5,L4,L2,R0,R2,R3,R8	L5,L4,L3,L2,R1,R3	L5,L4,L3,L2,R1,R3	L5,L4,L3,L2,R0,R1,R2,R3,R7,R8,R9	L4,L2,R3	L4,L2,R3	L4,L2,R0,R2,R3	L4,L3,L2,R1,R3	L4,L3,L2,R1,R3	L4,L3,L2,R0,R1,R2,R3	L5,L4,L2,R3	L5,L4,L2,R3	L5,L4,L2,R0,R2,R3,R8	L5,L4,L3,L2,R1,R3	L5,L4,L3,L2,R1,R3	L5,L4,L3,L2,R0,R1,R2,R3,R7,R8,R9	L4,L2,R3	L4,L2,R3	L4,L2,R0,R2,R3	L4,L3,L2,R1,R3	L4,L3,L2,R1,R3	L4,L3,L2,R0,R1,R2,R3
zwart/adj/de_morgen_20011105_01_96/734	greep/noun;veld/noun	greep/noun;veld/noun	antwoord/verb;greep/noun;krijg/verb;veld/noun	de/det;een/det;greep/noun;met/prep;op/prep;veld/noun	de/det;een/det;greep/noun;met/prep;op/prep;veld/noun	antwoord/verb;de/det;een/det;greep/noun;krijg/verb;met/prep;op/prep;veld/noun	greep/noun;veld/noun	greep/noun;veld/noun	greep/noun;krijg/verb;veld/noun	de/det;greep/noun;op/prep;veld/noun	de/det;greep/noun;op/prep;veld/noun	de/det;greep/noun;krijg/verb;op/prep;veld/noun	greep/noun;veld/noun	greep/noun;veld/noun	antwoord/verb;greep/noun;krijg/verb;veld/noun	de/det;een/det;greep/noun;met/prep;op/prep;veld/noun	de/det;een/det;greep/noun;met/prep;op/prep;veld/noun	antwoord/verb;de/det;een/det;greep/noun;krijg/verb;met/prep;op/prep;veld/noun	greep/noun;veld/noun	greep/noun;veld/noun	greep/noun;krijg/verb;veld/noun	de/det;greep/noun;op/prep;veld/noun	de/det;greep/noun;op/prep;veld/noun	de/det;greep/noun;krijg/verb;op/prep;veld/noun	L2,R0	L2,R0	L7,L2,R0,R2	L6,L5,L2,L1,L0,R0	L6,L5,L2,L1,L0,R0	L7,L6,L5,L2,L1,L0,R0,R2	L2,R0	L2,R0	L2,R0,R2	L2,L1,L0,R0	L2,L1,L0,R0	L2,L1,L0,R0,R2	L2,R0	L2,R0	L7,L2,R0,R2	L6,L5,L2,L1,L0,R0	L6,L5,L2,L1,L0,R0	L7,L6,L5,L2,L1,L0,R0,R2	L2,R0	L2,R0	L2,R0,R2	L2,L1,L0,R0	L2,L1,L0,R0	L2,L1,L0,R0,R2
zwart/adj/de_morgen_20020406_01_91/658	ben/verb;president/noun	ben/verb;president/noun	ben/verb;eigenlijk/adj;president/noun	ben/verb;die/pron;een/det;president/noun	ben/verb;die/pron;een/det;president/noun	ben/verb;die/pron;een/det;eigenlijk/adj;president/noun;van/prep			ben/verb;eigenlijk/adj	ben/verb;die/pron;een/det	ben/verb;die/pron;een/det	ben/verb;die/pron;een/det;eigenlijk/adj	ben/verb;president/noun	ben/verb;president/noun	ben/verb;eigenlijk/adj;het/noun;hoe/adj;kom/verb;president/noun	ben/verb;die/pron;een/det;president/noun	ben/verb;die/pron;een/det;president/noun	ben/verb;die/pron;een/det;eigenlijk/adj;er/adv;het/noun;hoe/adj;kom/verb;president/noun;van/prep;zo/adv			ben/verb;eigenlijk/adj;hoe/adj	ben/verb;die/pron;een/det	ben/verb;die/pron;een/det	ben/verb;die/pron;een/det;eigenlijk/adj;hoe/adj	L9,R1	L9,R1	L9,L1,R1	L9,L2,L0,R1	L9,L2,L0,R1	L9,L8,L2,L1,L0,R1			L1,R1	L2,L0,R1	L2,L0,R1	L2,L1,L0,R1	L9,R1	L9,R1	L9,L1,R1,R6,R7,R8	L9,L2,L0,R1	L9,L2,L0,R1	L9,L8,L2,L1,L0,R1,R6,R7,R8			L1,R1,R6	L2,L0,R1	L2,L0,R1	L2,L1,L0,R1,R6
zwart/adj/de_morgen_20020418_01_6/1661	emigreer/verb;ouder/noun	emigreer/verb;ouder/noun	emigreer/verb;heb/verb;ken/verb;ouder/noun;tijd/noun	als/prep;emigreer/verb;in/prep;ouder/noun;uit/prep	als/prep;emigreer/verb;in/prep;ouder/noun;uit/prep	als/prep;emigreer/verb;heb/verb;in/prep;ken/verb;ouder/noun;tijd/noun;uit/prep			heb/verb;ken/verb;tijd/noun	als/prep;in/prep	als/prep;in/prep	als/prep;heb/verb;in/prep;ken/verb;tijd/noun	achtergrond/noun;emigreer/verb;ouder/noun	achtergrond/noun;emigreer/verb;ouder/noun	achtergrond/noun;emigreer/verb;heb/verb;ken/verb;ouder/noun;tijd/noun	achtergrond/noun;als/prep;de/det;die/det;emigreer/verb;in/prep;ouder/noun;uit/prep;vooral/adv	achtergrond/noun;als/prep;de/det;die/det;emigreer/verb;in/prep;ouder/noun;uit/prep;vooral/adv	achtergrond/noun;als/prep;de/det;die/det;emigreer/verb;heb/verb;in/prep;ken/verb;ouder/noun;tijd/noun;uit/prep;vooral/adv			ken/verb;tijd/noun	als/prep;die/det;vooral/adv	als/prep;die/det;vooral/adv	als/prep;die/det;ken/verb;tijd/noun;vooral/adv	L9,L8	L9,L8	L9,L8,L4,R0,R1	L9,L8,L7,L3,L1	L9,L8,L7,L3,L1	L9,L8,L7,L4,L3,L1,R0,R1			L4,R0,R1	L3,L1	L3,L1	L4,L3,L1,R0,R1	L9,L8,R7	L9,L8,R7	L9,L8,L4,R0,R1,R7,R8	L9,L8,L7,L3,L1,R5,R6,R7	L9,L8,L7,L3,L1,R5,R6,R7	L9,L8,L7,L4,L3,L1,R0,R1,R5,R6,R7,R8			R0,R1	L1,R5,R6	L1,R5,R6	L1,R0,R1,R5,R6
zwart/adj/de_morgen_20020530_01_20/605	ben/verb;rood/adj;snor/noun;wit/noun	ben/verb;rood/adj;snor/noun;wit/noun	ben/verb;rood/adj;snor/noun;wit/noun	ben/verb;de/det;een/det;met/prep;rood/adj;snor/noun;wit/noun	ben/verb;de/det;een/det;met/prep;rood/adj;snor/noun;wit/noun	ben/verb;de/det;een/det;met/prep;rood/adj;snor/noun;wit/noun	snor/noun;wit/noun	snor/noun;wit/noun	snor/noun;wit/noun	een/det;met/prep;snor/noun;wit/noun	een/det;met/prep;snor/noun;wit/noun	een/det;met/prep;snor/noun;wit/noun	ben/verb;rood/adj;snor/noun;wit/noun	ben/verb;rood/adj;snor/noun;wit/noun	ben/verb;jaar/noun;rood/adj;snor/noun;wit/noun;word/verb	ben/verb;de/det;een/det;in/prep;met/prep;rood/adj;snor/noun;wit/noun	ben/verb;de/det;een/det;in/prep;met/prep;rood/adj;snor/noun;wit/noun	ben/verb;de/det;een/det;elk/det;in/prep;jaar/noun;met/prep;rood/adj;snor/noun;wit/noun;word/verb	snor/noun;wit/noun	snor/noun;wit/noun	jaar/noun;snor/noun;wit/noun	met/prep;snor/noun;wit/noun	met/prep;snor/noun;wit/noun	elk/det;jaar/noun;met/prep;snor/noun;wit/noun	L6,L5,L3,R0	L6,L5,L3,R0	L6,L5,L3,R0	L9,L6,L5,L4,L3,L1,L0,R0	L9,L6,L5,L4,L3,L1,L0,R0	L9,L6,L5,L4,L3,L1,L0,R0	L3,R0	L3,R0	L3,R0	L4,L3,L1,L0,R0	L4,L3,L1,L0,R0	L4,L3,L1,L0,R0	L6,L5,L3,R0	L6,L5,L3,R0	L6,L5,L3,R0,R6,R7	L9,L6,L5,L4,L3,L1,L0,R0,R8	L9,L6,L5,L4,L3,L1,L0,R0,R8	L9,L6,L5,L4,L3,L1,L0,R0,R5,R6,R7,R8	L3,R0	L3,R0	L3,R0,R6	L4,L3,L1,R0	L4,L3,L1,R0	L4,L3,L1,R0,R5,R6
zwart/adj/de_morgen_20020628_01_23/590	afdronk/noun;bes/noun;dosis/noun;smaak/noun;vanille/noun	afdronk/noun;bes/noun;dosis/noun;smaak/noun;vanille/noun	aangenaam/adj;afdronk/noun;bes/noun;dosis/noun;goed/adj;smaak/noun;vanille/noun	afdronk/noun;bes/noun;de/det;dosis/noun;een/det;in/prep;smaak/noun;vanille/noun	afdronk/noun;bes/noun;de/det;dosis/noun;een/det;in/prep;smaak/noun;vanille/noun	aangenaam/adj;afdronk/noun;bes/noun;de/det;dosis/noun;een/det;goed/adj;in/prep;smaak/noun;vanille/noun	bes/noun;dosis/noun;smaak/noun	bes/noun;dosis/noun;smaak/noun	aangenaam/adj;bes/noun;dosis/noun;goed/adj;smaak/noun	bes/noun;dosis/noun;een/det;smaak/noun	bes/noun;dosis/noun;een/det;smaak/noun	aangenaam/adj;bes/noun;dosis/noun;een/det;goed/adj;smaak/noun	afdronk/noun;bes/noun;dosis/noun;licht/adj;smaak/noun;vanille/noun	afdronk/noun;bes/noun;dosis/noun;licht/adj;smaak/noun;vanille/noun	aangenaam/adj;afdronk/noun;bes/noun;dosis/noun;goed/adj;licht/adj;smaak/noun;vanille/noun	afdronk/noun;bes/noun;de/det;dosis/noun;een/det;in/prep;licht/adj;smaak/noun;vanille/noun	afdronk/noun;bes/noun;de/det;dosis/noun;een/det;in/prep;licht/adj;smaak/noun;vanille/noun	aangenaam/adj;afdronk/noun;bes/noun;de/det;dosis/noun;een/det;goed/adj;in/prep;licht/adj;smaak/noun;vanille/noun	bes/noun;dosis/noun;smaak/noun	bes/noun;dosis/noun;smaak/noun	aangenaam/adj;bes/noun;dosis/noun;goed/adj;smaak/noun	bes/noun;dosis/noun;een/det;smaak/noun	bes/noun;dosis/noun;een/det;smaak/noun	aangenaam/adj;bes/noun;dosis/noun;een/det;goed/adj;smaak/noun	L1,R0,R4,R5,R8	L1,R0,R4,R5,R8	L3,L1,R0,R3,R4,R5,R8	L1,R0,R2,R4,R5,R6,R7,R8	L1,R0,R2,R4,R5,R6,R7,R8	L3,L1,R0,R2,R3,R4,R5,R6,R7,R8	L1,R0,R4	L1,R0,R4	L3,L1,R0,R3,R4	L1,R0,R2,R4	L1,R0,R2,R4	L3,L1,R0,R2,R3,R4	L1,R0,R4,R5,R8	L1,R0,R4,R5,R8	L3,L1,R0,R3,R4,R5,R8	L1,R0,R2,R4,R5,R6,R7,R8	L1,R0,R2,R4,R5,R6,R7,R8	L3,L1,R0,R2,R3,R4,R5,R6,R7,R8	L1,R0,R4	L1,R0,R4	L3,L1,R0,R3,R4	L1,R0,R2,R4	L1,R0,R2,R4	L3,L1,R0,R2,R3,R4
zwart/adj/de_morgen_20021121_01_56/549	corrupt/adj;lijst/noun	corrupt/adj;lijst/noun	bedrijf/noun;corrupt/adj;kom/verb;lijst/noun;word/verb	corrupt/adj;de/det;lijst/noun	corrupt/adj;de/det;lijst/noun	aan/prep;bedrijf/noun;corrupt/adj;de/det;het/det;kom/verb;lijst/noun;niet/adv;ook/adv;word/verb	corrupt/adj;lijst/noun	corrupt/adj;lijst/noun	bedrijf/noun;corrupt/adj;lijst/noun;word/verb	corrupt/adj;de/det;lijst/noun	corrupt/adj;de/det;lijst/noun	aan/prep;bedrijf/noun;corrupt/adj;de/det;lijst/noun;niet/adv;word/verb	corrupt/adj;eerst/adj;lijst/noun;veroordeel/verb	corrupt/adj;eerst/adj;lijst/noun;veroordeel/verb	bedrijf/noun;corrupt/adj;eerst/adj;het/adj;kom/verb;lijst/noun;veroordeel/verb;voor/adj;word/verb	corrupt/adj;de/det;eerst/adj;lijst/noun;veroordeel/verb	corrupt/adj;de/det;eerst/adj;lijst/noun;veroordeel/verb	aan/prep;bedrijf/noun;corrupt/adj;de/det;eerst/adj;het/adj;het/det;kom/verb;lijst/noun;niet/adv;ook/adv;veroordeel/verb;voor/adj;word/verb	corrupt/adj;lijst/noun	corrupt/adj;lijst/noun	bedrijf/noun;corrupt/adj;lijst/noun;word/verb	corrupt/adj;de/det;lijst/noun	corrupt/adj;de/det;lijst/noun	aan/prep;bedrijf/noun;corrupt/adj;de/det;lijst/noun;niet/adv;word/verb	L4,R0	L4,R0	L9,L4,L3,R0,R1	L4,L0,R0	L4,L0,R0	L9,L7,L5,L4,L3,L2,L1,L0,R0,R1	L4,R0	L4,R0	L4,L3,R0,R1	L4,L0,R0	L4,L0,R0	L4,L3,L2,L1,L0,R0,R1	L4,R0,R9	L4,R0,R9	L9,L4,L3,R0,R1,R7,R8,R9	L4,L0,R0,R9	L4,L0,R0,R9	L9,L7,L5,L4,L3,L2,L1,L0,R0,R1,R7,R8,R9	L4,R0	L4,R0	L4,L3,R0,R1	L4,L0,R0	L4,L0,R0	L4,L3,L2,L1,L0,R0,R1
zwart/adj/de_morgen_20021211_01_131/227	ben/verb;foto/noun;long/noun;neus/noun;plek/noun	ben/verb;foto/noun;long/noun;neus/noun;plek/noun	ben/verb;beschadig/verb;foto/noun;long/noun;neus/noun;plek/noun	ben/verb;die/pron;foto/noun;haar/det;long/noun;met/prep;neus/noun;plek/noun	ben/verb;die/pron;foto/noun;haar/det;long/noun;met/prep;neus/noun;plek/noun	ben/verb;beschadig/verb;die/pron;foto/noun;haar/det;long/noun;met/prep;neus/noun;plek/noun;van/prep	ben/verb;long/noun;plek/noun	ben/verb;long/noun;plek/noun	ben/verb;beschadig/verb;long/noun;plek/noun	ben/verb;die/pron;long/noun;met/prep;plek/noun	ben/verb;die/pron;long/noun;met/prep;plek/noun	ben/verb;beschadig/verb;die/pron;long/noun;met/prep;plek/noun	ben/verb;foto/noun;long/noun;neus/noun;plek/noun	ben/verb;foto/noun;long/noun;neus/noun;plek/noun	ben/verb;beschadig/verb;direct/adj;foto/noun;long/noun;neus/noun;plek/noun;rook/verb;stop/verb	ben/verb;die/pron;foto/noun;haar/det;long/noun;met/prep;neus/noun;plek/noun;zij/pron	ben/verb;die/pron;foto/noun;haar/det;long/noun;met/prep;neus/noun;plek/noun;zij/pron	ben/verb;beschadig/verb;die/pron;direct/adj;foto/noun;haar/det;ik/pron;long/noun;met/prep;neus/noun;plek/noun;rook/verb;stop/verb;van/prep;zij/pron	ben/verb;long/noun;plek/noun	ben/verb;long/noun;plek/noun	ben/verb;beschadig/verb;direct/adj;long/noun;plek/noun	ben/verb;die/pron;long/noun;met/prep;plek/noun;zij/pron	ben/verb;die/pron;long/noun;met/prep;plek/noun;zij/pron	ben/verb;beschadig/verb;die/pron;direct/adj;long/noun;met/prep;plek/noun;zij/pron	L8,L6,L4,L1,R0	L8,L6,L4,L1,R0	L8,L6,L4,L2,L1,R0	L9,L8,L7,L6,L4,L3,L1,L0,R0	L9,L8,L7,L6,L4,L3,L1,L0,R0	L9,L8,L7,L6,L5,L4,L3,L2,L1,L0,R0	L4,L1,R0	L4,L1,R0	L4,L2,L1,R0	L7,L4,L3,L1,L0,R0	L7,L4,L3,L1,L0,R0	L7,L4,L3,L2,L1,L0,R0	L8,L6,L4,L1,R0,R5	L8,L6,L4,L1,R0,R5	L8,L6,L4,L2,L1,R0,R5,R6,R7	L9,L8,L7,L6,L4,L3,L1,L0,R0,R4,R5	L9,L8,L7,L6,L4,L3,L1,L0,R0,R4,R5	L9,L8,L7,L6,L5,L4,L3,L2,L1,L0,R0,R4,R5,R6,R7	L4,L1,R0,R5	L4,L1,R0,R5	L4,L2,L1,R0,R5,R6	L7,L4,L3,L1,L0,R0,R4,R5	L7,L4,L3,L1,L0,R0,R4,R5	L7,L4,L3,L2,L1,L0,R0,R4,R5,R6
zwart/adj/de_morgen_20021224_01_18/1249	dierlijk/adj;lijk/verb;muziek/noun	dierlijk/adj;lijk/verb;muziek/noun	bezoek/noun;dierlijk/adj;echt/adj;lijk/verb;muziek/noun;nieuw/adj;speel/verb	de/det;dierlijk/adj;een/det;lijk/verb;muziek/noun;waar/adv	de/det;dierlijk/adj;een/det;lijk/verb;muziek/noun;waar/adv	aan/prep;bezoek/noun;de/det;dierlijk/adj;echt/adj;een/det;hem/pron;lijk/verb;meer/adv;muziek/noun;nieuw/adj;nog/adv;speel/verb;waar/adv	dierlijk/adj;muziek/noun	dierlijk/adj;muziek/noun	dierlijk/adj;echt/adj;muziek/noun;nieuw/adj;speel/verb	de/det;dierlijk/adj;een/det;muziek/noun;waar/adv	de/det;dierlijk/adj;een/det;muziek/noun;waar/adv	de/det;dierlijk/adj;echt/adj;een/det;muziek/noun;nieuw/adj;speel/verb;waar/adv	dierlijk/adj;lijk/verb;muziek/noun	dierlijk/adj;lijk/verb;muziek/noun	bezoek/noun;dierlijk/adj;echt/adj;lijk/verb;muziek/noun;nieuw/adj;speel/verb	de/det;dierlijk/adj;een/det;lijk/verb;muziek/noun;waar/adv	de/det;dierlijk/adj;een/det;lijk/verb;muziek/noun;waar/adv	aan/prep;bezoek/noun;de/det;dierlijk/adj;echt/adj;een/det;hem/pron;lijk/verb;meer/adv;muziek/noun;nieuw/adj;nog/adv;speel/verb;waar/adv	dierlijk/adj;muziek/noun	dierlijk/adj;muziek/noun	dierlijk/adj;echt/adj;muziek/noun;nieuw/adj;speel/verb	de/det;dierlijk/adj;een/det;muziek/noun;waar/adv	de/det;dierlijk/adj;een/det;muziek/noun;waar/adv	de/det;dierlijk/adj;echt/adj;een/det;muziek/noun;nieuw/adj;speel/verb;waar/adv	R2,R3,R6	R2,R3,R6	L6,L0,R1,R2,R3,R4,R6	L7,L4,L1,R0,R2,R3,R6	L7,L4,L1,R0,R2,R3,R6	L7,L6,L5,L4,L1,L0,R0,R1,R2,R3,R4,R6,R7,R8,R9	R2,R3	R2,R3	L0,R1,R2,R3,R4	L7,L4,L1,R0,R2,R3	L7,L4,L1,R0,R2,R3	L7,L4,L1,L0,R0,R1,R2,R3,R4	R2,R3,R6	R2,R3,R6	L6,L0,R1,R2,R3,R4,R6	L7,L4,L1,R0,R2,R3,R6	L7,L4,L1,R0,R2,R3,R6	L7,L6,L5,L4,L1,L0,R0,R1,R2,R3,R4,R6,R7,R8,R9	R2,R3	R2,R3	L0,R1,R2,R3,R4	L7,L4,L1,R0,R2,R3	L7,L4,L1,R0,R2,R3	L7,L4,L1,L0,R0,R1,R2,R3,R4
zwart/adj/de_morgen_20030114_01_53/315			lijst/noun;militair/adj	de/det;lijst/noun;op/prep;zij/pron	de/det;lijst/noun;op/prep;zij/pron	de/det;lijst/noun;militair/adj;op/prep;van/prep;voor/part;zij/pron			lijst/noun;militair/adj	de/det;lijst/noun;op/prep	de/det;lijst/noun;op/prep	de/det;lijst/noun;militair/adj;op/prep;van/prep;voor/part			lijst/noun;militair/adj;word/verb	de/det;lijst/noun;op/prep;zij/pron	de/det;lijst/noun;op/prep;zij/pron	de/det;lijst/noun;militair/adj;op/prep;van/prep;voor/part;word/verb;zij/pron			lijst/noun;militair/adj	de/det;lijst/noun;op/prep	de/det;lijst/noun;op/prep	de/det;lijst/noun;militair/adj;op/prep;van/prep;voor/part			R0,R4	L5,L2,L1,R0,R3	L5,L2,L1,R0,R3	L5,L3,L2,L1,R0,R2,R3,R4			R0,R4	L2,L1,R0,R3	L2,L1,R0,R3	L3,L2,L1,R0,R2,R3,R4			L9,R0,R4	L5,L2,L1,R0,R3	L5,L2,L1,R0,R3	L9,L5,L3,L2,L1,R0,R2,R3,R4			R0,R4	L2,L1,R0,R3	L2,L1,R0,R3	L3,L2,L1,R0,R2,R3,R4
zwart/adj/de_morgen_20030408_01_32/467	plat/adj;sommig/adj	plat/adj;sommig/adj	mens/noun;plat/adj;sommig/adj;veroorloof/verb	met/prep;plat/adj;sommig/adj;tegenover/prep;zich/pron	met/prep;plat/adj;sommig/adj;tegenover/prep;zich/pron	dus/adv;mens/noun;met/prep;plat/adj;slechts/adv;sommig/adj;tegenover/prep;veroorloof/verb;zich/pron			mens/noun;veroorloof/verb	met/prep;tegenover/prep;zich/pron	met/prep;tegenover/prep;zich/pron	mens/noun;met/prep;slechts/adv;tegenover/prep;veroorloof/verb;zich/pron	plat/adj;sommig/adj	plat/adj;sommig/adj	bewust/adj;mens/noun;plat/adj;sommig/adj;veroorloof/verb;zal/verb	met/prep;plat/adj;sommig/adj;tegenover/prep;zich/pron	met/prep;plat/adj;sommig/adj;tegenover/prep;zich/pron	bewust/adj;dus/adv;het/det;mens/noun;met/prep;misschien/adv;niet/adv;plat/adj;slechts/adv;sommig/adj;tegenover/prep;veroorloof/verb;wel/adv;zal/verb;zich/pron			mens/noun;veroorloof/verb	met/prep;tegenover/prep;zich/pron	met/prep;tegenover/prep;zich/pron	mens/noun;met/prep;misschien/adv;niet/adv;slechts/adv;tegenover/prep;veroorloof/verb;zich/pron	L9,L5	L9,L5	L9,L5,L1,R1	L9,L5,L4,L2,L0	L9,L5,L4,L2,L0	L9,L7,L5,L4,L3,L2,L1,L0,R1			L1,R1	L4,L2,L0	L4,L2,L0	L4,L3,L2,L1,L0,R1	L9,L5	L9,L5	L9,L5,L1,R1,R7	L9,L5,L4,L2,L0	L9,L5,L4,L2,L0	L9,L7,L5,L4,L3,L2,L1,L0,R1,R5,R6,R7			L1,R1	L4,L2,L0	L4,L2,L0	L4,L3,L2,L1,L0,R1,R5,R6
zwart/adj/de_morgen_20030614_01_149/311	blank/adj;gezin/noun;slaaf/noun	blank/adj;gezin/noun;slaaf/noun	blank/adj;gezin/noun;kom/verb;misbruik/verb;ontvoer/verb;slaaf/noun;word/verb	als/prep;blank/adj;door/prep;een/det;gezin/noun;hij/pron;slaaf/noun	als/prep;blank/adj;door/prep;een/det;gezin/noun;hij/pron;slaaf/noun	als/prep;blank/adj;door/prep;een/det;gezin/noun;hen/pron;hij/pron;kom/verb;misbruik/verb;ontvoer/verb;slaaf/noun;word/verb			gezin/noun;misbruik/verb;ontvoer/verb	door/prep;een/det;gezin/noun;hij/pron	door/prep;een/det;gezin/noun;hij/pron	door/prep;een/det;gezin/noun;hen/pron;hij/pron;misbruik/verb;ontvoer/verb	blank/adj;gezin/noun;slaaf/noun	blank/adj;gezin/noun;slaaf/noun	blank/adj;gezin/noun;kom/verb;misbruik/verb;ontvoer/verb;slaaf/noun;word/verb	als/prep;blank/adj;door/prep;een/det;gezin/noun;hij/pron;in/prep;slaaf/noun	als/prep;blank/adj;door/prep;een/det;gezin/noun;hij/pron;in/prep;slaaf/noun	als/prep;blank/adj;door/prep;een/det;gezin/noun;hen/pron;hij/pron;in/prep;kom/verb;misbruik/verb;ontvoer/verb;slaaf/noun;word/verb			gezin/noun;misbruik/verb;ontvoer/verb	door/prep;een/det;gezin/noun;hij/pron	door/prep;een/det;gezin/noun;hij/pron	door/prep;een/det;gezin/noun;hen/pron;hij/pron;misbruik/verb;ontvoer/verb	L9,L8,R0,R7	L9,L8,R0,R7	L9,L8,L7,L3,L2,R0,R4,R5,R7	L9,L8,L4,L1,L0,R0,R2,R6,R7	L9,L8,L4,L1,L0,R0,R2,R6,R7	L9,L8,L7,L4,L3,L2,L1,L0,R0,R2,R3,R4,R5,R6,R7			L8,L2,R0,R4	L8,L4,L1,L0,R0,R2	L8,L4,L1,L0,R0,R2	L8,L4,L2,L1,L0,R0,R2,R3,R4	L9,L8,R0,R7	L9,L8,R0,R7	L9,L8,L7,L3,L2,R0,R4,R5,R7	L9,L8,L4,L1,L0,R0,R2,R6,R7	L9,L8,L4,L1,L0,R0,R2,R6,R7	L9,L8,L7,L4,L3,L2,L1,L0,R0,R2,R3,R4,R5,R6,R7			L8,L2,R0,R4	L8,L4,L1,L0,R0,R2	L8,L4,L1,L0,R0,R2	L8,L4,L2,L1,L0,R0,R2,R3,R4
