_model	model.x	model.y	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_window	tokens	type	stress
zwart.foc10.all.weight.nobound.soc4.10000	-0.3177926633092156	-0.08103728743469271	all	nobound	weight	10_10	10000	1e4	4_4	297	zwart	0.23727722911210952
zwart.foc10.all.weight.nobound.soc4.foc	-0.15934020281372996	0.24986026591756058	all	nobound	weight	10_10	foc	724	4_4	297	zwart	0.22929337215899223
zwart.foc10.all.weight.nobound.soc10.5000	-0.2633870138018869	-0.0770870662162429	all	nobound	weight	10_10	5000	5e3	10_10	297	zwart	0.2249649525100067
zwart.foc10.all.weight.nobound.soc10.10000	-0.26621975730869635	-0.07051696594774168	all	nobound	weight	10_10	10000	1e4	10_10	297	zwart	0.22542622900175527
zwart.foc10.all.weight.nobound.soc10.foc	-0.1705308582976546	0.24015498540174895	all	nobound	weight	10_10	foc	724	10_10	297	zwart	0.2205211821117425
zwart.foc10.all.selection.nobound.soc4.5000	0.3073627212012876	-0.12581800581692426	all	nobound	selection	10_10	5000	5e3	4_4	297	zwart	0.22663795236602577
zwart.foc10.all.selection.nobound.soc4.10000	0.32143254797338405	-0.15265054977215992	all	nobound	selection	10_10	10000	1e4	4_4	297	zwart	0.2231141282253795
zwart.foc10.all.selection.nobound.soc4.foc	0.3081033566391259	0.18001622365316627	all	nobound	selection	10_10	foc	724	4_4	297	zwart	0.19995860696541265
zwart.foc10.all.selection.nobound.soc10.5000	0.1486835391220807	-0.09610368203099448	all	nobound	selection	10_10	5000	5e3	10_10	297	zwart	0.21832892588003674
zwart.foc10.all.selection.nobound.soc10.10000	0.16033846066873297	-0.10328240546115565	all	nobound	selection	10_10	10000	1e4	10_10	297	zwart	0.2173073140396287
zwart.foc10.all.selection.nobound.soc10.foc	0.1640773985552384	0.13290255214366375	all	nobound	selection	10_10	foc	724	10_10	297	zwart	0.19398468728145
zwart.foc10.all.noweight.nobound.soc4.5000	0.41768451083267943	-0.23140356971346268	all	nobound	noweight	10_10	5000	5e3	4_4	300	zwart	0.2107772407416253
zwart.foc10.all.noweight.nobound.soc4.10000	0.4400714328265827	-0.2125828740097913	all	nobound	noweight	10_10	10000	1e4	4_4	300	zwart	0.20942047666145597
zwart.foc10.all.noweight.nobound.soc4.foc	0.4453313170238935	0.2022571849925858	all	nobound	noweight	10_10	foc	1306	4_4	300	zwart	0.19234805308918593
zwart.foc10.all.noweight.nobound.soc10.5000	0.2475482562561448	-0.15713722873213312	all	nobound	noweight	10_10	5000	5e3	10_10	300	zwart	0.20234034567347622
zwart.foc10.all.noweight.nobound.soc10.10000	0.23286613641144857	-0.1463128991918118	all	nobound	noweight	10_10	10000	1e4	10_10	300	zwart	0.19790412880095729
zwart.foc10.all.noweight.nobound.soc10.foc	0.32551546828342326	0.1179933369953912	all	nobound	noweight	10_10	foc	1306	10_10	300	zwart	0.18674530271876427
zwart.foc5.nav.weight.nobound.soc4.5000	-0.23496434932643528	-0.1203528630909689	nav	nobound	weight	5_5	5000	5e3	4_4	211	zwart	0.24408566636166185
zwart.foc5.nav.weight.nobound.soc4.10000	-0.34216835273625207	-0.059232990225445106	nav	nobound	weight	5_5	10000	1e4	4_4	211	zwart	0.24290893503393923
zwart.foc5.nav.weight.nobound.soc4.foc	-0.33533661805228987	0.1481406268464771	nav	nobound	weight	5_5	foc	407	4_4	211	zwart	0.25627320435816764
zwart.foc5.nav.weight.nobound.soc10.5000	-0.22745523165967016	-0.0563404769223953	nav	nobound	weight	5_5	5000	5e3	10_10	211	zwart	0.23110611559424069
zwart.foc5.nav.weight.nobound.soc10.10000	-0.31941457104597626	-0.03158612848386468	nav	nobound	weight	5_5	10000	1e4	10_10	211	zwart	0.22834022637558332
zwart.foc5.nav.weight.nobound.soc10.foc	-0.29453935682562216	0.10044499559562697	nav	nobound	weight	5_5	foc	407	10_10	211	zwart	0.233729006782757
zwart.foc5.nav.selection.nobound.soc4.5000	-0.005952794779283017	-0.19134044927163316	nav	nobound	selection	5_5	5000	5e3	4_4	211	zwart	0.25479696552912545
zwart.foc5.nav.selection.nobound.soc4.10000	-0.015255181581834162	-0.10464305135250218	nav	nobound	selection	5_5	10000	1e4	4_4	211	zwart	0.25358672139829935
zwart.foc5.nav.selection.nobound.soc4.foc	-0.1235657778136629	0.224442387698578	nav	nobound	selection	5_5	foc	407	4_4	211	zwart	0.2572941739005516
zwart.foc5.nav.selection.nobound.soc10.5000	-0.03832700970690956	-0.0903482312495966	nav	nobound	selection	5_5	5000	5e3	10_10	211	zwart	0.24225178349762128
zwart.foc5.nav.selection.nobound.soc10.10000	-0.046202136992521375	-0.07678074986579897	nav	nobound	selection	5_5	10000	1e4	10_10	211	zwart	0.24116843376554897
zwart.foc5.nav.selection.nobound.soc10.foc	-0.05969834598453886	0.10766394688658923	nav	nobound	selection	5_5	foc	407	10_10	211	zwart	0.23769853531538118
zwart.foc5.nav.noweight.nobound.soc4.5000	0.010744945343434856	-0.1539870287237578	nav	nobound	noweight	5_5	5000	5e3	4_4	277	zwart	0.24405084940063054
zwart.foc5.nav.noweight.nobound.soc4.10000	0.010242591473562445	-0.1689516696142905	nav	nobound	noweight	5_5	10000	1e4	4_4	277	zwart	0.23819231981900316
zwart.foc5.nav.noweight.nobound.soc4.foc	0.02368371449675826	0.19785016374006473	nav	nobound	noweight	5_5	foc	640	4_4	277	zwart	0.239667085542153
zwart.foc5.nav.noweight.nobound.soc10.5000	-0.019642607600134834	-0.049983504588921375	nav	nobound	noweight	5_5	5000	5e3	10_10	277	zwart	0.23207933756112645
zwart.foc5.nav.noweight.nobound.soc10.10000	-0.002793857277236579	-0.07333677541763516	nav	nobound	noweight	5_5	10000	1e4	10_10	277	zwart	0.22886358547663133
zwart.foc5.nav.noweight.nobound.soc10.foc	0.009506227401771246	0.07082521430719643	nav	nobound	noweight	5_5	foc	640	10_10	277	zwart	0.23095168131568325
zwart.foc5.all.weight.nobound.soc4.5000	-0.28811727552657485	-0.0189209423666475	all	nobound	weight	5_5	5000	5e3	4_4	283	zwart	0.2513742230154858
zwart.foc5.all.weight.nobound.soc4.10000	-0.3745813223472077	0.03312890958637436	all	nobound	weight	5_5	10000	1e4	4_4	283	zwart	0.2462417711485055
zwart.foc5.all.weight.nobound.soc4.foc	-0.1843810736254617	0.3040236019177789	all	nobound	weight	5_5	foc	471	4_4	283	zwart	0.250280643298896
