_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
dof.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.10766267908296576	-0.04898313197433319	NA	NA	BOW	bound	424	all	3_3	1	selection	FOC	255	nav	4_4	307	dof
dof.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	-0.10087031970848118	-0.04695663750892161	NA	NA	BOW	bound	424	all	3_3	1	selection	FOC	424	all	4_4	307	dof
dof.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	-0.07131024823168683	-0.1800917138849499	NA	NA	BOW	bound	527	all	3_3	1	no	5000	5000	nav	4_4	310	dof
dof.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.20691357168773183	-0.31998676537363296	NA	NA	BOW	bound	527	all	3_3	1	no	5000	5000	all	4_4	310	dof
dof.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	-0.11130469146904191	-0.05490057922765381	NA	NA	BOW	bound	527	all	3_3	1	no	FOC	293	nav	4_4	310	dof
dof.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	-0.10399654677819464	-0.056795930220614396	NA	NA	BOW	bound	527	all	3_3	1	no	FOC	527	all	4_4	310	dof
dof.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.07376444634896587	0.02644088843141731	NA	NA	BOW	nobound	659	lex	10_10	1	weight	5000	5000	nav	4_4	309	dof
dof.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.07734378019963996	-0.05629500415995938	NA	NA	BOW	nobound	659	lex	10_10	1	weight	5000	5000	all	4_4	309	dof
dof.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.12665160322227736	0.043059855342384386	NA	NA	BOW	nobound	659	lex	10_10	1	weight	FOC	488	nav	4_4	309	dof
dof.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.12791073012749232	0.04482348868034053	NA	NA	BOW	nobound	659	lex	10_10	1	weight	FOC	659	all	4_4	309	dof
dof.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.02876471799251178	0.0713950712332376	NA	NA	BOW	nobound	659	lex	10_10	1	selection	5000	5000	nav	4_4	309	dof
dof.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.15253139992281314	-0.053199155538348634	NA	NA	BOW	nobound	659	lex	10_10	1	selection	5000	5000	all	4_4	309	dof
dof.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.11716554892700089	0.08599121200509931	NA	NA	BOW	nobound	659	lex	10_10	1	selection	FOC	488	nav	4_4	309	dof
dof.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.11994038112724532	0.08507729455267304	NA	NA	BOW	nobound	659	lex	10_10	1	selection	FOC	659	all	4_4	309	dof
dof.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.11659438376180417	0.19044413566721752	NA	NA	BOW	nobound	1397	lex	10_10	1	no	5000	5000	nav	4_4	310	dof
dof.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	0.47060193368928777	0.010535390953723849	NA	NA	BOW	nobound	1397	lex	10_10	1	no	5000	5000	all	4_4	310	dof
dof.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.1424662709347856	0.16477359756090781	NA	NA	BOW	nobound	1397	lex	10_10	1	no	FOC	1025	nav	4_4	310	dof
dof.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.14098254873458343	0.1617287839577229	NA	NA	BOW	nobound	1397	lex	10_10	1	no	FOC	1397	all	4_4	310	dof
dof.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.05376550693230854	0.013603934785617774	NA	NA	BOW	nobound	791	all	10_10	1	weight	5000	5000	nav	4_4	310	dof
dof.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	0.0738347495619615	-0.05936044750384785	NA	NA	BOW	nobound	791	all	10_10	1	weight	5000	5000	all	4_4	310	dof
dof.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.12425413973113095	0.03583795395966518	NA	NA	BOW	nobound	791	all	10_10	1	weight	FOC	488	nav	4_4	310	dof
dof.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.12302953552806395	0.03738370866908568	NA	NA	BOW	nobound	791	all	10_10	1	weight	FOC	791	all	4_4	310	dof
dof.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.005556612635255713	0.14536529014191	NA	NA	BOW	nobound	791	all	10_10	1	selection	5000	5000	nav	4_4	310	dof
dof.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.39115829152673515	-0.11645698690794921	NA	NA	BOW	nobound	791	all	10_10	1	selection	5000	5000	all	4_4	310	dof
dof.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.09428533569527808	0.11026158172819371	NA	NA	BOW	nobound	791	all	10_10	1	selection	FOC	488	nav	4_4	310	dof
dof.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.09555648988445836	0.10714379219375611	NA	NA	BOW	nobound	791	all	10_10	1	selection	FOC	791	all	4_4	310	dof
dof.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.09237030177595722	0.31413121932974913	NA	NA	BOW	nobound	1770	all	10_10	1	no	5000	5000	nav	4_4	310	dof
dof.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	0.7307784582070292	-0.012332783268920157	NA	NA	BOW	nobound	1770	all	10_10	1	no	5000	5000	all	4_4	310	dof
dof.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.1401200447572079	0.23039707472009285	NA	NA	BOW	nobound	1770	all	10_10	1	no	FOC	1025	nav	4_4	310	dof
dof.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.14968658557776368	0.24540863850672587	NA	NA	BOW	nobound	1770	all	10_10	1	no	FOC	1770	all	4_4	310	dof
dof.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.07333954615198453	0.01195286713789807	NA	NA	BOW	nobound	545	lex	5_5	1	weight	5000	5000	nav	4_4	309	dof
dof.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	0.08056442781034953	-0.07367614831691881	NA	NA	BOW	nobound	545	lex	5_5	1	weight	5000	5000	all	4_4	309	dof
dof.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.11058467289963515	0.029353442975255033	NA	NA	BOW	nobound	545	lex	5_5	1	weight	FOC	396	nav	4_4	309	dof
dof.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.10837765190097032	0.029838914900680098	NA	NA	BOW	nobound	545	lex	5_5	1	weight	FOC	545	all	4_4	309	dof
dof.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.0395904781121003	0.011516851661817961	NA	NA	BOW	nobound	545	lex	5_5	1	selection	5000	5000	nav	4_4	309	dof
dof.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.08996130081023983	-0.09355853275386947	NA	NA	BOW	nobound	545	lex	5_5	1	selection	5000	5000	all	4_4	309	dof
dof.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.09205455071957847	0.044636233220189565	NA	NA	BOW	nobound	545	lex	5_5	1	selection	FOC	396	nav	4_4	309	dof
dof.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.09125752094919007	0.04070379600128426	NA	NA	BOW	nobound	545	lex	5_5	1	selection	FOC	545	all	4_4	309	dof
dof.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.04388208648068023	0.06663114289540072	NA	NA	BOW	nobound	736	lex	5_5	1	no	5000	5000	nav	4_4	310	dof
dof.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	0.1636148967292729	-0.07572599764865577	NA	NA	BOW	nobound	736	lex	5_5	1	no	5000	5000	all	4_4	310	dof
dof.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.09629853307237199	0.0703250256220294	NA	NA	BOW	nobound	736	lex	5_5	1	no	FOC	536	nav	4_4	310	dof
dof.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.09964483478436867	0.0712059019498288	NA	NA	BOW	nobound	736	lex	5_5	1	no	FOC	736	all	4_4	310	dof
dof.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.05402579800380597	-0.005441126196965242	NA	NA	BOW	nobound	662	all	5_5	1	weight	5000	5000	nav	4_4	310	dof
dof.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	0.06917279950220813	-0.07789075996579554	NA	NA	BOW	nobound	662	all	5_5	1	weight	5000	5000	all	4_4	310	dof
