_model	model.x	model.y	foc_minimum_features	soc_vector	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_win	stress	pam_cluster	is_medoid
stof.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	0.5522354754684634	0.04186975204028001	1	all_5000	5000	313	stof	NA	NA	BOW	nobound	624	all	5_5	selection	4_4	0.2578150957018474	c5	0
stof.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1276571633592525	0.0032999791607686195	1	nav_FOC	395	313	stof	NA	NA	BOW	nobound	624	all	5_5	selection	4_4	0.23661557253099222	c1	0
stof.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.11296911176589738	-1.8574584365452183e-4	1	all_FOC	624	313	stof	NA	NA	BOW	nobound	624	all	5_5	selection	4_4	0.23430570718585247	c1	0
stof.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.0345624920071627	0.00936180225546489	1	nav_5000	5000	313	stof	NA	NA	BOW	nobound	1016	all	5_5	no	4_4	0.2625942092357336	c3	0
stof.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	0.613660197078402	-0.02392905477550689	1	all_5000	5000	313	stof	NA	NA	BOW	nobound	1016	all	5_5	no	4_4	0.2733280173516213	c5	0
stof.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.12637722485595387	-0.015184497208788577	1	nav_FOC	601	313	stof	NA	NA	BOW	nobound	1016	all	5_5	no	4_4	0.23682784841617668	c3	0
stof.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.10388455328785819	-0.027479232221064635	1	all_FOC	1016	313	stof	NA	NA	BOW	nobound	1016	all	5_5	no	4_4	0.23733411427099715	c3	0
stof.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.15327459268817287	-0.03145794409148798	1	nav_5000	5000	294	stof	NA	NA	BOW	nobound	352	lex	3_3	weight	4_4	0.2560574161170359	c6	0
stof.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.15843734947465798	-0.29376060927725406	1	all_5000	5000	294	stof	NA	NA	BOW	nobound	352	lex	3_3	weight	4_4	0.2988006913929324	c2	0
stof.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.22719728985585377	0.014323253342731632	1	nav_FOC	269	294	stof	NA	NA	BOW	nobound	352	lex	3_3	weight	4_4	0.25647781686084403	c6	0
stof.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.22041608791049877	0.012787251736790513	1	all_FOC	352	294	stof	NA	NA	BOW	nobound	352	lex	3_3	weight	4_4	0.2571154851027602	c6	0
stof.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.13948713029974733	-0.0704092721194067	1	nav_5000	5000	294	stof	NA	NA	BOW	nobound	352	lex	3_3	selection	4_4	0.2447050838430214	c6	0
stof.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.22567815229857183	-0.33260513056554986	1	all_5000	5000	294	stof	NA	NA	BOW	nobound	352	lex	3_3	selection	4_4	0.2848534008911846	c2	0
stof.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.20673108877994964	0.010394378221856921	1	nav_FOC	269	294	stof	NA	NA	BOW	nobound	352	lex	3_3	selection	4_4	0.24776434276547166	c6	0
stof.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.2070254497226299	0.007649741585099096	1	all_FOC	352	294	stof	NA	NA	BOW	nobound	352	lex	3_3	selection	4_4	0.24536175893980144	c6	0
stof.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.14694794143702486	-0.10102820854930594	1	nav_5000	5000	309	stof	NA	NA	BOW	nobound	484	lex	3_3	no	4_4	0.24289262906310258	c6	0
stof.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	0.25035514210263715	-0.4384255064449732	1	all_5000	5000	309	stof	NA	NA	BOW	nobound	484	lex	3_3	no	4_4	0.26638251967090054	c2	0
stof.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.22092459572254614	0.004947631679621632	1	nav_FOC	363	309	stof	NA	NA	BOW	nobound	484	lex	3_3	no	4_4	0.24384373759752032	c6	0
stof.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.22676179935831609	0.0018156859035902894	1	all_FOC	484	309	stof	NA	NA	BOW	nobound	484	lex	3_3	no	4_4	0.24000380565219778	c6	0
stof.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.07886236204951505	-0.018251798338133965	1	nav_5000	5000	313	stof	NA	NA	BOW	nobound	434	all	3_3	weight	4_4	0.22989116036889834	c1	0
stof.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	0.27505107864874206	-0.1018815517822032	1	all_5000	5000	313	stof	NA	NA	BOW	nobound	434	all	3_3	weight	4_4	0.2845759661025728	c4	0
stof.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.19107779330364774	0.03989684346349585	1	nav_FOC	269	313	stof	NA	NA	BOW	nobound	434	all	3_3	weight	4_4	0.23506613485438552	c1	0
stof.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.17113795989723904	0.03426247024803651	1	all_FOC	434	313	stof	NA	NA	BOW	nobound	434	all	3_3	weight	4_4	0.24095970934915933	c1	0
