_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
goedkoop.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.2923498796632472	0.09479213925601124	NA	NA	BOW	bound	542	all	5_5	1	weight	FOC	542	all	4_4	300	goedkoop
goedkoop.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	-1.249768565311415	0.3378378853318253	NA	NA	BOW	bound	542	all	5_5	1	selection	5000	5000	nav	4_4	300	goedkoop
goedkoop.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	1.4842182801367865	-0.0824111653372205	NA	NA	BOW	bound	542	all	5_5	1	selection	5000	5000	all	4_4	300	goedkoop
goedkoop.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6043432417815476	0.14405924561845387	NA	NA	BOW	bound	542	all	5_5	1	selection	FOC	334	nav	4_4	300	goedkoop
goedkoop.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.5418991307858957	0.1594653959237108	NA	NA	BOW	bound	542	all	5_5	1	selection	FOC	542	all	4_4	300	goedkoop
goedkoop.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	-1.766844046366973	0.2559265562297364	NA	NA	BOW	bound	854	all	5_5	1	no	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	2.195104423847962	-0.3066501684982339	NA	NA	BOW	bound	854	all	5_5	1	no	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	-1.2105017633322828	-0.006221856775309472	NA	NA	BOW	bound	854	all	5_5	1	no	FOC	509	nav	4_4	303	goedkoop
goedkoop.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	-1.1836169106501822	-0.029636935430686052	NA	NA	BOW	bound	854	all	5_5	1	no	FOC	854	all	4_4	303	goedkoop
goedkoop.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.7268432644855854	0.7258610143685721	NA	NA	BOW	bound	329	lex	3_3	1	weight	5000	5000	nav	4_4	289	goedkoop
goedkoop.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	1.3017745674588486	0.35484989309627213	NA	NA	BOW	bound	329	lex	3_3	1	weight	5000	5000	all	4_4	289	goedkoop
goedkoop.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.7564485509893317	0.7002809145661861	NA	NA	BOW	bound	329	lex	3_3	1	weight	FOC	248	nav	4_4	289	goedkoop
goedkoop.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.7241408873837542	0.6950717098816187	NA	NA	BOW	bound	329	lex	3_3	1	weight	FOC	329	all	4_4	289	goedkoop
goedkoop.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.9405350982836148	0.7780303006310391	NA	NA	BOW	bound	329	lex	3_3	1	selection	5000	5000	nav	4_4	289	goedkoop
goedkoop.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	1.224210937071528	0.3215451545531142	NA	NA	BOW	bound	329	lex	3_3	1	selection	5000	5000	all	4_4	289	goedkoop
goedkoop.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.827030956146437	0.6586986340293068	NA	NA	BOW	bound	329	lex	3_3	1	selection	FOC	248	nav	4_4	289	goedkoop
