vernietig/verb_pmi10	verniel/verb_pmi10	raw_co10_x	vernietig/verb_pmi4	verniel/verb_pmi4	raw_co10_y	raw_freq	cw
	4.98331	0				73	1566/noun
3.9173796		1	4.8028626		1.0	45	157.000/num
0.83497673		1	1.7428133		1.0	945	157/num
4.1373158		1	5.0453134		1.0	35	1571/noun
	4.1137166	0				58	1578/noun
	2.85562	0		3.2434535	0.0	1032	158/num
	4.4077735	0				43	1581/noun
4.254553		1				31	1588/noun
	0.53797865	0		1.4339452	0.0	2109	15de/num
1.1703783		1	2.0748065		1.0	679	16,5/num
-0.26759133		1	0.6343766		1.0	2896	16-jarige/adj
	0.832167	0				1562	16.000/num
	1.3850259	0				2691	16.30/noun
	4.262969	0				51	16.35/noun
7.673918		1				1	16/10/noun
-1.1150746	0.3608107	3		0.9686035	0.0	20089	16/noun
-1.8143082	-1.3192521	3	-2.0069203		1.0	40303	16/num
-0.2889594	0.6115618	2		1.1044124	0.0	5839	160/num
1.2489676	1.0508765	2	1.4597908	1.9482875	1.0	1259	1600/num
1.493125	1.2950338	2	2.4009838	2.1963332	2.0	979	161/num
3.349785		1	4.250966		1.0	77	1635/noun
	3.5840063	0				98	1640/noun
2.2613792		1	3.1632886		1.0	229	165.000/num
0.2575091		1				1689	165/num
0.69943875		1	1.6069106		1.0	1082	166/num
	3.333883	0				127	1660/noun
	4.69236	0				66	1666/noun
	3.9961262	0		4.903999	0.0	65	1667/noun
3.9267693		1				43	1669/noun
6.9807706		1	7.8967423		1.0	2	167.118/num
1.5811383		2				899	167/num
3.9603455		1				41	1673/noun
	4.5486407	0				38	1674/noun
	3.1963866	0				146	168/name
3.8672552		1				45	1683/noun
-0.11458406		1				2459	16de/num
-0.5410752		1				3798	17-jarige/adj
	0.9537705	0				1387	17.000/num
	3.6041048	0				99	17.35/noun
	8.168974	0		9.078386	0.0	1	17.Harry/noun
-0.53696775		1				3737	17/name
-0.99900925	-1.1971004	4	-1.4841582	-0.99566156	1.0	23878	17/noun
-1.2471848	-0.5698071	5	-0.5646839	-1.4624817	4.0	38139	17/num
1.0111682	1.5062243	1	1.9126484		1.0	800	170.000/num
1.2163764	1.529111	6	0.32842746	0.8169241	1.0	3896	170/num
2.034496		3	2.5284324		2.0	865	1700/num
	1.3365887	0				944	172/num
4.1185694		1	5.034541		1.0	35	1722/noun
	4.558056	0				37	1729/noun
	5.6910357	0		6.593479	0.0	36	1731/noun
	3.3430629	0		4.250072	0.0	125	174/name
2.2256727		2	2.4347658		1.0	476	175.000/num
-0.14838682		1	0.755992		1.0	2537	175/num
4.12862		1	5.0381193		1.0	35	1767/noun
3.4412615		1				70	1769/noun
3.423282		1				71	1772/noun
	4.0622067	0				61	1775/noun
1.0134705		1				790	178/num
1.2719176		1				613	179/num
	3.8310297	0		4.7394624	0.0	77	1793/noun
	2.805571	0				216	1795/noun
2.9294205	3.4244764	1	3.8395371		1.0	117	1796/noun
6.9807706		1				2	1798-1855/num
	3.3279412	0				127	1798/noun
0.057806455	0.95832765	2				4170	18-jarige/adj
0.95011526		2				1699	18.000/num
	2.0213604	0				473	18.15/num
	6.419774	0				6	18.15uur/noun
7.673918		1				1	18.226/num
6.9807706		1	7.8967423		1.0	2	18.28-19.28u./noun
	0.043757036	0		0.9392738	0.0	3452	18.30/noun
	8.168974	0		9.078386	0.0	1	18.708/num
3.0362804		1				105	18/12/num
-1.162438	-0.44423848	4	-0.9553372		2.0	28146	18/noun
-1.083238	-0.9246541	7	-2.1235697	-0.9419258	1.0	45254	18/num
0.6825568		1				1107	180.000/num
	3.1727755	0		4.0685844	0.0	150	180/name
-1.0985687	0.49509966	1		1.3941002	0.0	6553	180/num
1.4138583		1				530	1800/noun
3.1023042		1				97	1801/noun
3.5963802		1	4.512352		1.0	59	1807/noun
	3.5469465	0		4.4412327	0.0	104	1809/noun
2.8261936		1				129	1810/noun
	3.3045208	0		4.2108517	0.0	130	1812/noun
2.8356535		1	3.7486594		1.0	127	1813/noun
2.5351825		1				172	1814/noun
3.450008	4.6382113	1	4.353973		1.0	70	183/name
2.1332426		1				257	1839/noun
2.7798162		1				134	1841/noun
1.5894562		3	1.3964853		1.0	1338	185/num
	2.8046346	0				217	1853/noun
	3.039667	0				170	1854/noun
	3.1741292	0				149	1856/noun
2.3332596		1				210	1866/noun
7.673918		2				2	1867-1961/noun
1.8844163	2.3794725	1	2.7926924		1.0	330	1871/noun
	2.4382248	0				310	1873/noun
	2.3599308	0				338	1876/noun
	2.4330468	0		3.3361843	0.0	313	1879/noun
1.0828614		1	1.9869623		1.0	743	188/num
	2.5208802	0				285	1881/noun
	2.2789884	0				365	1883/noun
1.9415478		1	2.8513029		1.0	312	1884/noun
1.365455		1	2.2772474		1.0	553	1888/noun
	3.1497092	0				307	1891/noun
	2.2696245	0				368	1894/noun
1.319026		1				579	1895/noun
	1.9031024	0		2.8024476	0.0	534	1896/noun
2.6129062		1				159	18:30/num
-0.2841871	0.21086897	1	0.62195945		1.0	2907	18de/num
-0.68895817	0.9047102	1	0.21351114	1.395155	1.0	4392	19-jarige/adj
1.2228155	2.4110188	1		2.6157465	0.0	644	19.000/num
	3.0934875	0		3.9900184	0.0	164	19.20/noun
	5.396385	0				16	19.831/num
-0.7481029	-0.7638725	5	-0.7627261	0.1312356	2.0	23205	19/noun
-1.3119893	-0.0060029738	4	-1.792639	-1.3041424	1.0	32622	19/num
1.8248811		1	2.7269685		1.0	354	190.000/num
	3.0651517	0				167	190/name
	0.54530734	0		1.4436861	0.0	2080	190/num
-0.10142117	0.3936349	1				2411	1900/noun
4.729479		1				19	1901-1991/num
	2.3612819	0				674	1902/noun
1.7987763		2	2.0142906		1.0	720	1904/noun
1.6713896	1.4732984	2	1.8868546		1.0	817	1905/noun
1.1683578		1				675	1906/noun
	2.2895586	0				720	1908/noun
1.0266185		1				788	191/num
	1.3181063	0				955	1910/noun
	1.8889056	0		2.0993571	0.0	1078	1912/noun
	1.3288016	0		2.2330382	0.0	941	1913/noun
3.2178278		1				87	1914-1918/noun
	2.2199602	0				1547	1914/noun
	1.4779451	0				811	1916/noun
	1.0043694	0		1.9059614	0.0	1306	1917/noun
	0.9785992	0		1.8826362	0.0	1337	1918/noun
	1.2305437	0				1040	1919/noun
0.2926026		1				1617	1920/noun
2.1928623		1				244	1920/num
0.79132634	1.9795296	1				982	1921/noun
1.3187219		2	1.5372764		1.0	1160	1923/noun
	1.1092702	0		2.0112793	0.0	1178	1924/noun
	1.1227617	0				1161	1926/noun
	0.95252126	0		1.8544523	0.0	1377	1927/noun
0.32990947		1				1561	1928/noun
0.2019856		1	1.1117196		1.0	1772	1930/noun
	1.6124796	0		1.8195337	0.0	1428	1932/noun
0.078907534		1				2008	1933/noun
0.94403386	0.7459428	2	1.853219		2.0	1693	1934/noun
0.06907299		1				2030	1936/noun
	5.9717493	0				9	1937-1938/noun
1.2517265		3	1.7565882		2.0	1863	1937/noun
	1.619323	0		1.4242983	0.0	2115	1938/noun
0.7646885	0.56659734	2				2018	1939/noun
1.9648763	2.4599323	11	2.42256	2.9110568	7.0	3349	1940/noun
1.0519352	1.1415261	3	1.5555015	1.3508508	2.0	2276	1941/noun
0.68377626	1.1788323	2		1.3886144	0.0	2192	1942/noun
-0.009555069	1.1786482	1	0.89846087	1.3869574	1.0	2201	1943/noun
	2.9818673	0				182	1943/num
0.28444636	2.7254126	2	0.50098217	2.3757732	1.0	3268	1944/noun
6.5753055		1	7.491277		1.0	3	1945-1975/num
1.3929602	0.789404	9	1.8971854	0.59392256	6.0	4856	1945/noun
-0.11458406		1				2444	1946/noun
	1.3246732	0		1.1276633	0.0	2850	1947/noun
0.9612349		4				3325	1948/noun
-0.16694613	1.0212572	1	0.7427618	1.2312584	1.0	2565	1949/noun
	3.5449817	0				104	195/name
0.28792712		2				3260	1950/noun
-0.05985346		1				2312	1951/noun
0.56012434	0.3620332	2				2487	1952/noun
	0.9118829	0		1.1212962	0.0	2868	1953/noun
-0.18121995	1.0069833	1		1.2158887	0.0	2612	1954/noun
-0.059306074	0.43574998	1	0.8498773		1.0	2309	1955/noun
	0.8950834	0				2919	1956/noun
-0.15461825	1.033585	1		1.2417693	0.0	2543	1957/noun
0.44761777		2				2786	1959/noun
-0.3476012		1				3082	1961/noun
-0.5099264		1				3629	1962/noun
	0.031724118	0				3456	1963/noun
-0.47617498	0.71202826	1		0.9215889	0.0	3496	1964/noun
1.0780005		5	0.37762612		1.0	3701	1965/noun
-0.53795886	-0.042902805	1				3726	1966/noun
0.8182876		5	0.118295155		1.0	4799	1967/noun
-0.017008292	-0.21509941	2		0.6878904	0.0	4419	1968/noun
	1.0358773	0				1272	1968/num
-0.5972343	-0.10217824	1		0.80021167	0.0	3951	1969/noun
	1.8243028	0				579	197/num
-0.9112986		1				5409	1970/noun
1.0493877		1				761	1970/num
0.0951458	-0.10294532	2	1.0038785	0.7992279	2.0	3955	1971/noun
2.355124		4	1.8749605		1.0	829	1971/num
-0.82197016	-0.3269141	1		0.5755199	0.0	4944	1972/noun
	1.8217597	0				579	1972/num
-0.8502313		1				5091	1973/noun
-0.91328657		1				5419	1974/noun
1.2844323		1				605	1974/num
-0.28407338		2				5784	1975/noun
-0.9695116	-0.47445557	1				5791	1976/noun
1.8982022		2				652	1976/num
-0.86025065	-0.36519456	1				5222	1977/noun
0.5047024	-0.3865359	4	0.028535726	0.5170323	1.0	5248	1978/noun
5.5163584		1	6.406651		1.0	9	1979-1989/num
	0.27897146	0		0.48884884	0.0	5396	1979/noun
6.2876234		1				4	1980-'85/num
0.6896578	-0.76119626	7	1.0394582		4.0	7643	1980/noun
0.19489099	-0.40866524	3	1.1048187		3.0	5361	1981/noun
6.06448		1				5	1982-1989/num
-0.0576548	-0.661211	3	-0.24686606	0.24163055	1.0	6912	1982/noun
1.1165713		1				713	1982/num
