_model	model.x	model.y	medoid_k9	medoid_k3	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	medoid_newk3
destroy.BOWnobound15nav.PPMIweight.LENGTH5000.SOCPOSnav	-1.0567820746638	0.0728302396992929	not_medoid	not_medoid	NA	NA	BOW	nobound	1350	nav	15_15	1	weight	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15nav.PPMIweight.LENGTHFOC.SOCPOSnav	-1.00492213845993	-0.136268296280493	not_medoid	not_medoid	NA	NA	BOW	nobound	1350	nav	15_15	1	weight	FOC	992	nav	4_4	486	destroy	FALSE
destroy.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.531993227536816	2.48841075988685	not_medoid	not_medoid	NA	NA	BOW	nobound	1387	all	5_5	1	no	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.060837882487427	1.74279837162621	not_medoid	not_medoid	NA	NA	BOW	nobound	1387	all	5_5	1	no	FOC	741	nav	4_4	486	destroy	FALSE
destroy.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.687724631580727	2.37286836823935	not_medoid	not_medoid	NA	NA	BOW	nobound	997	all	5_5	1	selection	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.0375706823887942	1.48139854507471	not_medoid	not_medoid	NA	NA	BOW	nobound	997	all	5_5	1	selection	FOC	527	nav	4_4	486	destroy	FALSE
destroy.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.185329737213137	1.51133988051487	not_medoid	not_medoid	NA	NA	BOW	nobound	997	all	5_5	1	weight	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.153989481932485	1.0375563906243	not_medoid	not_medoid	NA	NA	BOW	nobound	997	all	5_5	1	weight	FOC	527	nav	4_4	486	destroy	FALSE
destroy.BOWnobound5nav-nap.PPMIno.LENGTH5000.SOCPOSnav	-0.572470117193887	2.232947017522	not_medoid	not_medoid	NA	NA	BOW	nobound	1244	nav-nap	5_5	1	no	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound5nav-nap.PPMIno.LENGTHFOC.SOCPOSnav	-0.787142517982087	1.41625198151729	not_medoid	not_medoid	NA	NA	BOW	nobound	1244	nav-nap	5_5	1	no	FOC	741	nav	4_4	486	destroy	FALSE
destroy.BOWnobound5nav-nap.PPMIselection.LENGTH5000.SOCPOSnav	-0.382710701509452	2.08247601479725	not_medoid	not_medoid	NA	NA	BOW	nobound	893	nav-nap	5_5	1	selection	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound5nav-nap.PPMIselection.LENGTHFOC.SOCPOSnav	-0.593818679225346	1.27753672205376	medoid	not_medoid	NA	NA	BOW	nobound	893	nav-nap	5_5	1	selection	FOC	527	nav	4_4	486	destroy	FALSE
destroy.BOWnobound5nav-nap.PPMIweight.LENGTH5000.SOCPOSnav	-0.315919462089151	1.44525188926484	not_medoid	not_medoid	NA	NA	BOW	nobound	893	nav-nap	5_5	1	weight	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound5nav-nap.PPMIweight.LENGTHFOC.SOCPOSnav	-0.369781362214504	1.10246729597386	not_medoid	not_medoid	NA	NA	BOW	nobound	893	nav-nap	5_5	1	weight	FOC	527	nav	4_4	486	destroy	FALSE
destroy.BOWnobound5nav.PPMIno.LENGTH5000.SOCPOSnav	-1.06250384346928	1.98337205911197	not_medoid	not_medoid	NA	NA	BOW	nobound	946	nav	5_5	1	no	5000	5000	nav	4_4	485	destroy	FALSE
destroy.BOWnobound5nav.PPMIno.LENGTHFOC.SOCPOSnav	-1.00443483412262	1.43998750047416	not_medoid	not_medoid	NA	NA	BOW	nobound	946	nav	5_5	1	no	FOC	741	nav	4_4	485	destroy	FALSE
destroy.BOWnobound5nav.PPMIselection.LENGTH5000.SOCPOSnav	-0.791163153792397	1.98699767756861	not_medoid	not_medoid	NA	NA	BOW	nobound	699	nav	5_5	1	selection	5000	5000	nav	4_4	480	destroy	FALSE
destroy.BOWnobound5nav.PPMIselection.LENGTHFOC.SOCPOSnav	-0.792376421836922	1.3464416368303	not_medoid	not_medoid	NA	NA	BOW	nobound	699	nav	5_5	1	selection	FOC	527	nav	4_4	480	destroy	FALSE
destroy.BOWnobound5nav.PPMIweight.LENGTH5000.SOCPOSnav	-0.483981235651935	1.64733167250023	not_medoid	not_medoid	NA	NA	BOW	nobound	699	nav	5_5	1	weight	5000	5000	nav	4_4	480	destroy	FALSE
destroy.BOWnobound5nav.PPMIweight.LENGTHFOC.SOCPOSnav	-0.481797385967868	1.24367657956349	not_medoid	not_medoid	NA	NA	BOW	nobound	699	nav	5_5	1	weight	FOC	527	nav	4_4	480	destroy	FALSE
destroy.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	2.82251753196583	0.0280363082846595	not_medoid	not_medoid	selection2	NA	LEMMAPATH	bound	821	NA	NA	1	no	5000	5000	nav	4_4	479	destroy	FALSE
destroy.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	1.85971031767055	0.0253803729867581	not_medoid	not_medoid	selection2	NA	LEMMAPATH	bound	821	NA	NA	1	no	FOC	429	nav	4_4	479	destroy	FALSE
destroy.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	2.69829604421371	0.066286567861302	not_medoid	not_medoid	selection2	NA	LEMMAPATH	bound	635	NA	NA	1	selection	5000	5000	nav	4_4	479	destroy	FALSE
destroy.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	1.72168055273826	0.0174490456711138	not_medoid	medoid	selection2	NA	LEMMAPATH	bound	635	NA	NA	1	selection	FOC	346	nav	4_4	479	destroy	FALSE
destroy.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	1.71312008587933	-0.0580892825528417	not_medoid	not_medoid	selection2	NA	LEMMAPATH	bound	635	NA	NA	1	weight	5000	5000	nav	4_4	479	destroy	FALSE
destroy.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	1.22178641415671	-0.0242932752762046	not_medoid	not_medoid	selection2	NA	LEMMAPATH	bound	635	NA	NA	1	weight	FOC	346	nav	4_4	479	destroy	FALSE
destroy.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	2.41964431990639	0.629912687386341	not_medoid	not_medoid	selection3	NA	LEMMAPATH	bound	1208	NA	NA	1	no	5000	5000	nav	4_4	479	destroy	FALSE
destroy.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	1.43931754859679	0.52800215570668	not_medoid	not_medoid	selection3	NA	LEMMAPATH	bound	1208	NA	NA	1	no	FOC	648	nav	4_4	479	destroy	FALSE
destroy.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	2.31265172521923	0.633184172651892	not_medoid	not_medoid	selection3	NA	LEMMAPATH	bound	849	NA	NA	1	selection	5000	5000	nav	4_4	479	destroy	FALSE
destroy.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	1.30909937085746	0.401676941868562	not_medoid	not_medoid	selection3	NA	LEMMAPATH	bound	849	NA	NA	1	selection	FOC	462	nav	4_4	479	destroy	FALSE
destroy.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	1.22095295589612	0.537557913698764	not_medoid	not_medoid	selection3	NA	LEMMAPATH	bound	849	NA	NA	1	weight	5000	5000	nav	4_4	479	destroy	FALSE
destroy.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	0.773881713635371	0.332771601751225	not_medoid	not_medoid	selection3	NA	LEMMAPATH	bound	849	NA	NA	1	weight	FOC	462	nav	4_4	479	destroy	FALSE
destroy.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	2.52066440465305	0.226685302961225	not_medoid	not_medoid	weight	NA	LEMMAPATH	bound	1208	NA	NA	1	no	5000	5000	nav	4_4	479	destroy	FALSE
destroy.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	1.61231025174006	0.257412669170765	not_medoid	not_medoid	weight	NA	LEMMAPATH	bound	1208	NA	NA	1	no	FOC	648	nav	4_4	479	destroy	FALSE
destroy.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	2.40140904968207	0.228826372025183	medoid	not_medoid	weight	NA	LEMMAPATH	bound	849	NA	NA	1	selection	5000	5000	nav	4_4	479	destroy	FALSE
