pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
4.050067	1			34	14,70/num
2.6408	1			145	14.25/num
-1.2334564	1			6653	14.30/noun
-0.9363064	5	-1.6420684	1.0	24865	14/noun
-0.81003183	11	-1.2027615	3.0	48120	14/num
-0.49900088	2			6410	140/num
6.4585123	1			3	1448/name
1.1348792	3			1868	145/num
0.57621187	1			1094	148/num
1.3885605	1			485	15%/num
2.5047078	1			158	15,9/num
7.662485	1			1	15.00-17.25/noun
-1.1370174	1			6093	15.000/num
4.263141	1	5.178135	1.0	27	15.200/num
5.9476867	1			5	15.340/num
-1.648781	3			30549	15/noun
-0.89737594	14	-2.6296122	1.0	66844	15/num
-0.75715643	1	0.14739445	1.0	4163	150.000/num
-0.24130037	9	-0.8397991	2.0	22300	150/num
1.9230496	1			287	150ste/num
0.52379453	1			1149	152/num
0.23451515	1			1536	155/num
2.489794	1			160	159/name
5.477683	1			8	1591/num
2.3419173	1			197	16,95/num
0.36771166	2	0.5790014	1.0	2691	16.30/noun
-0.89470834	1	0.011842145	1.0	4756	16/name
-1.2318677	3			20089	16/noun
-1.237954	6	-1.4296907	2.0	40303	16/num
-1.0988996	1			5839	160/num
7.5571246	1			1	160_euro/noun
2.144586	1			229	165.000/num
0.1407161	1			1689	165/num
6.8639774	1			2	1655-1660/num
0.97593087	1			734	169/num
7.5571246	1	8.473971	1.0	1	16K/noun
4.466082	1			22	16V/name
-0.23137708	1			2459	16de/num
2.2530737	1			207	17,8/num
3.900424	3	4.80721	3.0	119	17,90/num
2.7344267	1	3.6288009	1.0	128	17.20/noun
-0.71033716	6	-0.90692854	2.0	23878	17/noun
-1.5871214	4			38139	17/num
-0.69217604	1			3896	170/num
2.0489516	1			252	1700/noun
0.7247397	1			944	172/num
5.477683	1			8	174,6/num
1.368604	2			996	176/num
3.2191806	1	4.1350484	1.0	77	1793/noun
2.1839318	1	3.0889034	1.0	220	18,4/num
1.1349335	1			627	18,5/num
3.3339472	1			70	18,59/num
3.2797644	1			76	18-21/num
1.1587794	1			618	18-25/noun
0.14017509	1			1699	18.000/num
2.8187356	1			119	18.25/num
-0.56809205	1			3452	18.30/noun
-1.0560876	5	-1.7644019	1.0	28146	18/noun
-1.0664996	8	-1.54634	2.0	45254	18/num
-0.52221453	2			6553	180/num
2.9519544	1			100	1826/noun
1.868879	2			594	1830/noun
1.0306298	1	1.9412737	1.0	689	1850/noun
7.5571246	1			1	1856-1931/noun
3.0159597	2	3.2375298	1.0	188	1861/noun
1.8846608	1			294	1865/noun
5.6112146	1			7	1876-1958/num
1.5694171	1			402	1886/noun
1.2012775	1			581	1898/noun
6.1708302	1			4	18de-19de/noun
3.787818	1			45	19-11/num
1.3450197	1			508	19.15/noun
-1.384146	1			7776	19.30/noun
-0.40741345	1	0.504787	1.0	2898	19.45/noun
-0.86489594	5			23205	19/noun
0.62660545	2	0.83927196	1.0	2080	190/num
-0.21821418	1			2411	1900/noun
1.7494327	2			674	1902/noun
1.8066971	2			636	1907/noun
0.5839094	1			1078	1912/noun
0.39252028	1			1306	1917/noun
0.61869466	1			1040	1919/noun
7.5571246	1			1	192.911,57/num
0.51091266	1	1.4210345	1.0	1161	1926/noun
2.7759025	1			122	1926/num
0.34067217	1	1.2500381	1.0	1377	1927/noun
0.21311645	1	1.1241784	1.0	1561	1928/noun
0.8147453	2	1.030747	1.0	1716	1929/noun
1.1838049	3	0.9958021	1.0	1772	1930/noun
2.8548276	1			112	1931/num
1.0006304	2			1428	1932/noun
0.8272408	2			1693	1934/noun
2.4198568	1	3.3257508	1.0	173	1934/num
0.19460629	1			1594	1935/noun
0.72946835	2	0.94752353	1.0	1863	1937/noun
-0.04525172	1			2018	1939/noun
3.947559	1			38	1940-'45/num
3.6859236	1			48	1940-1945/noun
5.3710732	1			9	1940-45/num
-0.54981196	1			3349	1940/noun
-0.16347013	1			2276	1941/noun
0.16765335	2	0.38506463	1.0	3268	1944/noun
-0.23137708	1			2444	1946/noun
0.30735892	2			2850	1947/noun
7.5571246	1			1	1948-1978/num
0.8444419	4	0.36832467	1.0	3325	1948/noun
-0.52201307	1			3260	1950/noun
-0.17664647	1	0.73200387	1.0	2312	1951/noun
1.7913067	1			324	1952/num
1.7361519	1			342	1953/num
0.51704806	2	0.7339598	1.0	2309	1955/noun
7.5571246	1			1	1956/66/noun
-0.27141127	1			2543	1957/noun
-0.8580137	1			4570	1960/noun
-0.6267194	1			3629	1962/noun
0.113022216	2			3456	1963/noun
7.5571246	1			1	1964-'64/num
