_model	model.x	model.y	foc_minimum_features	soc_vector	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_win	stress	pam_cluster	is_medoid
spoor.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.182189995948248	-0.2176480599122593	1	nav_5000	5000	301	spoor	NA	NA	BOW	bound	221	lex	3_3	weight	4_4	0.27597990522586713	c7	0
spoor.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.2798047360834448	-0.29779169823453977	1	all_5000	5000	301	spoor	NA	NA	BOW	bound	221	lex	3_3	weight	4_4	0.2732638472036143	c2	0
spoor.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1559413897479786	-0.15389672883554167	1	nav_FOC	168	301	spoor	NA	NA	BOW	bound	221	lex	3_3	weight	4_4	0.2933257743493355	c7	0
spoor.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.17532708004345893	-0.1669582623925542	1	all_FOC	221	301	spoor	NA	NA	BOW	bound	221	lex	3_3	weight	4_4	0.28814337193483425	c7	0
spoor.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.190659170130011	-0.20570576371630855	1	nav_5000	5000	301	spoor	NA	NA	BOW	bound	221	lex	3_3	selection	4_4	0.2751818222106317	c7	0
spoor.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.2669759824339529	-0.24526534479931317	1	all_5000	5000	301	spoor	NA	NA	BOW	bound	221	lex	3_3	selection	4_4	0.27255381513873544	c2	0
spoor.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1605881073003355	-0.1454655582598322	1	nav_FOC	168	301	spoor	NA	NA	BOW	bound	221	lex	3_3	selection	4_4	0.2886624123859357	c7	0
spoor.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.182114544662943	-0.16299315200674697	1	all_FOC	221	301	spoor	NA	NA	BOW	bound	221	lex	3_3	selection	4_4	0.28041617173577443	c7	1
spoor.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.24209799198152868	-0.19063200276494105	1	nav_5000	5000	334	spoor	NA	NA	BOW	bound	358	lex	3_3	no	4_4	0.27586871649104133	c7	0
spoor.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.341685322717454	-0.2623021250706163	1	all_5000	5000	334	spoor	NA	NA	BOW	bound	358	lex	3_3	no	4_4	0.2665356485360801	c2	0
spoor.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.22219601138898595	-0.1577069284888477	1	nav_FOC	278	334	spoor	NA	NA	BOW	bound	358	lex	3_3	no	4_4	0.2895446302231902	c7	0
spoor.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.25893150793679115	-0.18257015119728998	1	all_FOC	358	334	spoor	NA	NA	BOW	bound	358	lex	3_3	no	4_4	0.28439452898162515	c7	0
spoor.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.14284862955793548	-0.07371858343084536	1	nav_5000	5000	356	spoor	NA	NA	BOW	bound	328	all	3_3	weight	4_4	0.25784467673169026	c8	0
spoor.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.14321647723457953	-0.1548265592931812	1	all_5000	5000	356	spoor	NA	NA	BOW	bound	328	all	3_3	weight	4_4	0.25983121169494516	c6	0
spoor.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.09703274213062477	-0.07639505125458745	1	nav_FOC	168	356	spoor	NA	NA	BOW	bound	328	all	3_3	weight	4_4	0.2508947244891345	c4	0
spoor.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.10213819413452223	-0.06923649275279872	1	all_FOC	328	356	spoor	NA	NA	BOW	bound	328	all	3_3	weight	4_4	0.26451801833837574	c4	0
spoor.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.18860328831144793	0.017150462239383244	1	nav_5000	5000	356	spoor	NA	NA	BOW	bound	328	all	3_3	selection	4_4	0.24349055279373583	c8	0
spoor.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.2347762010696649	0.07524293188968818	1	all_5000	5000	356	spoor	NA	NA	BOW	bound	328	all	3_3	selection	4_4	0.2442621746527719	c6	0
spoor.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.1143023391843372	-0.02035861762732248	1	nav_FOC	168	356	spoor	NA	NA	BOW	bound	328	all	3_3	selection	4_4	0.24176407111340786	c8	0
spoor.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.11782105863304264	-0.013216847761067099	1	all_FOC	328	356	spoor	NA	NA	BOW	bound	328	all	3_3	selection	4_4	0.252086384632916	c8	0
spoor.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.17148963467394168	0.028784230580490528	1	nav_5000	5000	358	spoor	NA	NA	BOW	bound	536	all	3_3	no	4_4	0.2465764417731523	c8	0
spoor.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.2184309403679416	0.10395385027680591	1	all_5000	5000	358	spoor	NA	NA	BOW	bound	536	all	3_3	no	4_4	0.2549333813431402	c6	0
spoor.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.10002007764402635	-5.953786468485222e-4	1	nav_FOC	278	358	spoor	NA	NA	BOW	bound	536	all	3_3	no	4_4	0.2511905512845177	c8	0
spoor.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.10480495879217795	0.011418303913607595	1	all_FOC	536	358	spoor	NA	NA	BOW	bound	536	all	3_3	no	4_4	0.25005976309154937	c5	0
spoor.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.16016773237150145	0.027544019829537338	1	nav_5000	5000	353	spoor	NA	NA	BOW	nobound	559	lex	10_10	weight	4_4	0.26702337030322804	c1	0
